name_cargo_pod,Conteneur
sn_general_101,Lewis and Clark
sn_general_102,Fata Tractabilia Mutationi
sn_general_103,Stiletto
sn_general_104,Oscar Romero
sn_general_105,Justine
sn_general_106,Camelback
sn_general_107,Valedi Coniunti Sunct
sn_general_108,In Your Eye
sn_general_109,Universal Wrench
sn_general_110,Albatross
sn_general_111,Profit And Loss
sn_general_112,Lakota Lady
sn_general_113,Lady Joanne
sn_general_114,Paradise Lost
sn_general_115,Guillotine
sn_general_116,Snowman
sn_general_117,Meridian Star
sn_general_118,Runner
sn_general_119,Twice Shy
sn_general_120,Pale Moon
sn_general_121,L'Amour
sn_general_122,Jebediah
sn_general_123,Hiranuma-Hrusc
sn_general_124,Lupin Horribilis
sn_general_125,Sea Wasp
sn_general_126,Mea Culpa
sn_general_127,Shushtar
sn_general_128,Ekiguchi-Gogotz
sn_general_129,Sweet Mistress
sn_general_130,Sign Of The Times
sn_general_131,Ironsides
sn_general_132,Deep One
sn_general_133,Weymouth
sn_general_134,Nikolai Petrovski
sn_general_135,Albino
sn_general_136,Heartbreaker
sn_general_137,Professor Ping
sn_general_138,Lover's Tryst
sn_general_139,Tax Dodger
sn_general_140,Shake It
sn_general_141,Orlando
sn_general_142,Valley Girl
sn_general_143,Deep Three
sn_general_144,Cheat
sn_general_145,Sweet FA
sn_general_146,Northern Star
sn_general_147,Olympic Venture
sn_general_148,L'eau
sn_general_149,Tsar Nicolas
sn_general_150,Danger Zone
sn_general_151,Benbow
sn_general_152,Southern Belle
sn_general_153,Gauge Boson
sn_general_154,Ups and Downs
sn_general_155,Apocalypse
sn_general_156,Bruiser
sn_general_157,Free Association
sn_general_158,Glyndwr
sn_general_159,Provision
sn_general_160,Sea Rose
sn_general_161,Nasser
sn_general_162,It's Been A Trip
sn_general_163,Tricolour
sn_general_164,Donattien
sn_general_165,Nishimoto-Sabat
sn_general_166,La Nina
sn_general_167,Tsar Alexandre
sn_general_168,Pangia
sn_general_169,Faraway
sn_general_170,Baron Konrad
sn_general_171,Ozymandias
sn_general_172,Apollo
sn_general_173,Takeuchi-Zidik
sn_general_174,Texan Hardcase
sn_general_175,Tai Chang
sn_general_176,Triton
sn_general_177,Blind Ottoman
sn_general_178,Catherine
sn_general_179,Sunflower
sn_general_180,Sir Francis Drake
sn_general_181,Pasteur
sn_general_182,Division
sn_general_183,Alexander Pushkin
sn_general_184,Solar Hole
sn_general_185,Errare Humanum Est
sn_general_186,Leela
sn_general_187,Kaiser Soze
sn_general_188,Christo
sn_general_189,Omsk
sn_general_190,Just A Minute
sn_general_191,Iridium Sunset
sn_general_192,Keegans Pity
sn_general_193,Manchurian
sn_general_194,Polka
sn_general_195,Dorick
sn_general_196,Olympe de Gouges
sn_general_197,Pringle
sn_general_198,Last Will
sn_general_199,Cascade
sn_general_200,Morrigan
sn_general_201,Général Yermalov
sn_general_202,Mangababe
sn_general_203,Wayfoong
sn_general_204,Saints Alive
sn_general_205,Nevis
sn_general_206,Tobermory
sn_general_207,Sojourner Truth
sn_general_208,Sacagawea
sn_general_209,Asuhara-Zemlanska
sn_general_210,Tinker's Delight
sn_general_211,Paranoid
sn_general_212,Nicodemus
sn_general_213,Ilmarinen
sn_general_214,Cimeterre
sn_general_215,Maranello
sn_general_216,Leonardo
sn_general_217,Yanagimoto-Popovich
sn_general_218,Munkey
sn_general_219,The Ragdoll
sn_general_220,Temptation
sn_general_221,Foundry
sn_general_222,Hateful
sn_general_223,Sekozawa-Vascak
sn_general_224,Long Water
sn_general_225,Generation Z
sn_general_226,Iku-turso
sn_general_227,Bron-Yr-Aur
sn_general_228,Eagle
sn_general_229,Sunburst
sn_general_230,Requiem
sn_general_231,Final Burn
sn_general_232,Puffin
sn_general_233,Raffles
sn_general_234,Perfidious Albion
sn_general_235,Boadicea 
sn_general_236,The Artful Dodger
sn_general_237,Numbskull
sn_general_238,Vedette
sn_general_239,Static Orbit
sn_general_240,Jack Reacher
sn_general_241,Machine
sn_general_242,Star Deva
sn_general_243,Cormoran
sn_general_244,Margarita
sn_general_245,Vision Thing
sn_general_246,Prescott
sn_general_247,G12/4
sn_general_248,Gushiken-Krajkovic
sn_general_249,Old Oak
sn_general_250,Painaway
sn_general_251,Conde Nostra
sn_general_252,Deep Two
sn_general_253,Over There
sn_general_254,Bluebird
sn_general_255,Lacrimae
sn_general_256,Straight To Hell
sn_general_257,Lithuanian Princess
sn_general_258,His Lordship
sn_general_259,Evil King
sn_general_260,Pénélope
sn_general_261,Aphra Behn
sn_general_262,Salacious
sn_general_263,Soren Larsen
sn_general_264,Anna
sn_general_265,Stella's Cry
sn_general_266,Pea Green
sn_general_267,Turunmaa
sn_general_268,Tired Eyes
sn_general_269,Cochadebajo de los Gatos
sn_general_270,Paradigm Shift
sn_general_271,Olive noire
sn_general_272,One Feather
sn_general_273,Drifter
sn_general_274,Souther Tiger
sn_general_275,Jigsaw
sn_general_276,Inouye-Peleszak
sn_general_277,Forte
sn_general_278,Sanguit Fluebit
sn_general_279,Don't Know When I'll Be Back
sn_general_280,Brief Encounter
sn_general_281,The Sublime
sn_general_282,Viima
sn_general_283,Michelangelo
sn_general_284,Misery
sn_general_285,LongTime
sn_general_286,Maximus
sn_general_287,Nain noir
sn_general_288,Ultima Ratio Regum
sn_general_289,Hush
sn_general_290,Overfiend
sn_general_291,Archerfish
sn_general_292,Illegal Operation
sn_general_293,Pandora
sn_general_294,The Excessive Machine
sn_general_295,Melissa
sn_general_296,Elena Piscopia
sn_general_297,Parisienne
sn_general_298,Gemini
sn_general_299,Wild Child
sn_general_300,Sagacious
sn_general_301,Tommy Gun
sn_general_302,Grand Duke Mikhail
sn_general_303,Corinthian
sn_general_304,Blythe Spirit
sn_general_305,Argonaute
sn_general_306,Sea Queen
sn_general_307,Chrondrite
sn_general_308,Pluribus
sn_general_309,La Traviata
sn_general_310,King Canute
sn_general_311,Scopo
sn_general_312,Rock Dust
sn_general_313,Brick
sn_general_314,Tulipe
sn_general_315,Home From Home
sn_general_316,Swyddfa'r Post
sn_general_317,Westley
sn_general_318,dE - eX
sn_general_319,Harriet
sn_general_320,Spot Weld City
sn_general_321,Lege Atque Lacrima
sn_general_322,Low Orbit
sn_general_323,Morituri Te Salutamus
sn_general_324,Clampdown
sn_general_325,Setting Sun
sn_general_326,Vacca Foeda
sn_general_327,Hypatia
sn_general_328,Ambrosia
sn_general_329,Mundus Vult Decipi
sn_general_330,Sister Morphine
sn_general_331,Kernel
sn_general_332,Metallicus
sn_general_333,Blackbird
sn_general_334,124C4all
sn_general_335,Karakoram
sn_general_336,Canis Queen
sn_general_337,Blue Danube
sn_general_338,Smashed
sn_general_339,Gallows Pole
sn_general_340,Slow Boat
sn_general_341,Sky Gypsy
sn_general_342,Gomez
sn_general_343,Moustache grise
;,
; underworld ship names,
;,
sn_underworld_0,Cyanide Smile
sn_underworld_1,Baron rouge
sn_underworld_2,Grinnin Wimmin
sn_underworld_3,Hairy Palm
sn_underworld_4,Capt. Dirk
sn_underworld_5,Bizarre
sn_underworld_6,Abandon Hype
sn_underworld_7,Bully Boy
sn_underworld_8,Pure Of Heart
sn_underworld_9,Smart Arse
sn_underworld_10,Pure And Simple
sn_underworld_11,Grotesque
sn_underworld_12,Lucy Brown
sn_underworld_13,Drink Me
sn_underworld_14,Cleopatra
sn_underworld_15,Alcatraz Freewheeler
sn_underworld_16,Serendipity
sn_underworld_17,Sir Viv Stanchell
sn_underworld_18,Feed Your Head
sn_underworld_19,Sanctity
sn_underworld_20,Age of Vengeance
sn_underworld_21,Granny Brown
sn_underworld_22,Red Ellen
sn_underworld_23,Troll
sn_underworld_24,Lovers Kiss
sn_underworld_25,Black Anna
sn_underworld_26,Coriolus
sn_underworld_27,Space Lullaby
sn_underworld_28,Ivors Lover
sn_underworld_29,Jenny Driver
sn_underworld_30,Foxy
sn_underworld_31,Carpathian Way
sn_underworld_32,Watching You
sn_underworld_33,Encore
sn_underworld_34,Satan's Lawyer
sn_underworld_35,Kathe Kollwitz
sn_underworld_36,Hobgoblin
sn_underworld_37,Cassandra Stone
sn_underworld_38,Green Through Grog
sn_underworld_39,Grendel
sn_underworld_40,Leprous Moomin
sn_underworld_41,Lizzie Borden
sn_underworld_42,Lear's Daughters
sn_underworld_43,Win Or Lose
sn_underworld_44,Cardynal Syn
sn_underworld_45,Harpo
sn_underworld_46,Sukey Tawdry
sn_underworld_47,Sicilian Pride
sn_underworld_48,Duc de Richelieu
sn_underworld_49,Cheeky Boy
sn_underworld_50,Green Eyed Monster
sn_underworld_51,Schul Meier
sn_underworld_52,Cormoran Pie
sn_underworld_53,Skinned Alive
sn_underworld_54,Martyred Teapot
sn_underworld_55,Brimstone Bunny
sn_underworld_56,Veiled Threat
sn_underworld_57,Toady
sn_underworld_58,Gerkin
sn_underworld_59,Bonzo Dog
sn_underworld_60,Judith Leyster
sn_underworld_61,Lady Godiva
sn_underworld_62,Gods Testicle
sn_underworld_63,Green Gaffer
sn_underworld_64,Velasquez
sn_underworld_65,Lily
sn_underworld_66,Jagganath
sn_underworld_67,Red Ken
sn_underworld_68,Van Der Graf
sn_underworld_69,Cute As A Button
sn_underworld_70,Spiros
sn_underworld_71,Bread And Roses
sn_underworld_72,Wild Wild Woman
sn_underworld_73,Gizz A Job
sn_underworld_74,Lawyers Malice
sn_underworld_75,Immortal Che
sn_underworld_76,Cheeky Girl
sn_underworld_77,Wurzle
sn_underworld_78,Diamonds And Rust
sn_underworld_79,Cheek To Cheek
sn_underworld_80,Scabby Queen
sn_underworld_81,My Other Ship's A Corvette
sn_underworld_82,Whining Maggot
sn_underworld_83,Il Duce
sn_underworld_84,Inside Out
sn_underworld_85,Ready Deck
sn_underworld_86,Tampopo
sn_underworld_87,Jedburgh Lives
sn_underworld_88,Wilma
sn_underworld_89,Groucho
sn_underworld_90,Captain Boris
sn_underworld_91,Beloved
sn_underworld_92,A Day In The Life
sn_underworld_93,Guilty as Sin
sn_underworld_94,Hades Angel
sn_underworld_95,Unga Bunga
sn_underworld_96,Chien noir
sn_underworld_97,Spine Of God
sn_underworld_98,Justice Who
sn_underworld_99,Red Hot And Blue
sn_underworld_100,Peter Piper
sn_underworld_101,Saucy Sarah
sn_underworld_102,Scallywag
sn_underworld_103,Code Monkey
sn_underworld_104,Shiny Rocket
sn_underworld_105,Blue Oyster
sn_underworld_106,Smile
sn_underworld_107,Amorous Terrier
sn_underworld_108,Spinny
sn_underworld_109,Cannonball Mum
sn_underworld_110,Goon Squad
sn_underworld_111,Gunslinger Groove
sn_underworld_112,Damned Villain
sn_underworld_113,No Pasaran
sn_underworld_114,Row Of Beans
sn_underworld_115,Acid Remarque
sn_underworld_116,Eat Me Up
sn_underworld_117,Virginiana
sn_underworld_118,Handful Of Dynamite
sn_underworld_119,Nitro-G
sn_underworld_120,Groovy
sn_underworld_121,"Come On, Try Me"
sn_underworld_122,Little Jonny
sn_underworld_123,Lyrebird
sn_underworld_124,Love Machine
sn_underworld_125,Give Us A Kiss 
sn_underworld_126,Bottle o' Grog
sn_underworld_127,Dark Secret
sn_underworld_128,Velvet Glove
sn_underworld_129,Wotan's Armpit
sn_underworld_130,Rev. Green
sn_underworld_131,Skanky
sn_underworld_132,Crimson Heart
sn_underworld_133,Play It Sam
sn_underworld_134,Just Say No
sn_underworld_135,See My Wife
sn_underworld_136,Love In A Mist
sn_underworld_137,Iron Grip
sn_underworld_138,Venturesome
sn_underworld_139,Sin For Your Supper
sn_underworld_140,Beardsley's Boy
sn_underworld_141,Take The Bait
sn_underworld_142,Papa Cthulhu
sn_underworld_143,Lilith
sn_underworld_144,Terrible Tina
sn_underworld_145,Ms. Scarlet
sn_underworld_146,Screwloose
sn_underworld_147,Galatic Greyhound
sn_underworld_148,Crazy Maizy
sn_underworld_149,Sooner Than Later
sn_underworld_150,Célestine
sn_underworld_151,Boy's Own Story
sn_underworld_152,Fidel's Beard
sn_underworld_153,Jack the Knife
sn_underworld_154,Fnord Fnord
sn_underworld_155,Circe
sn_underworld_156,Hell's Snowball
sn_underworld_157,Ruby Lips
sn_underworld_158,Mog
sn_underworld_159,Dandelion
sn_underworld_160,Yo Ho Ho
sn_underworld_161,Shiver Me Timbers
sn_underworld_162,Zeppo
sn_underworld_163,Bancroft
sn_underworld_164,Zulu Zygote
sn_underworld_165,Lady Mary
sn_underworld_166,Baby Bro
sn_underworld_167,Off With His Head
sn_underworld_168,Sélène
sn_underworld_169,Arsenic
sn_underworld_170,Girlie Girl
sn_underworld_171,Emma Lazarus
sn_underworld_172,French Maid
sn_underworld_173,Shadwell
sn_underworld_174,Crimson Mask
sn_underworld_175,Wacky Captain
sn_underworld_176,The Jellyfish
sn_underworld_177,Betty
sn_underworld_178,Capt. Firk
sn_underworld_179,Emma Goldman
sn_underworld_180,Shoo, Cat!
sn_underworld_181,Fred,
sn_underworld_182,Lady Madonna,
sn_underworld_183,Pee Wee,
sn_underworld_184,Gringo,
sn_underworld_185,Garibaldi,
sn_underworld_186,Olympias,
sn_underworld_187,Sysiphus,
sn_underworld_188,Gilles de Rais,
sn_underworld_189,Chico,
sn_underworld_190,Piece o' Pie,
sn_underworld_191,Murasaki Shikibu,
sn_underworld_192,Walladah Al-Mustakfi,
sn_underworld_193,Eleanor Of Aquitaine,
sn_underworld_194,Sorghaghtani Beki,
sn_underworld_195,Little Sister,
sn_underworld_196,Spider Monkey
sn_underworld_197,Lazy Dave
sn_underworld_198,Spiny Norman
sn_underworld_199,If You Can Read This...
sn_underworld_200,Hanky Panky
sn_underworld_201,Charlotte Guillard
sn_underworld_202,Scary Susan
sn_underworld_203,Watch This Space
sn_underworld_204,Mad Dogz n Englishmen
sn_underworld_205,Joséphine
sn_underworld_206,The Wolf Whistles
sn_underworld_207,Soleil d'or
sn_underworld_208,Bennington
sn_underworld_209,Evil Weevil
sn_underworld_210,Marguerite
sn_underworld_211,Chattanooga
sn_underworld_212,Dixie
sn_underworld_213,Dillingers Day
sn_underworld_214,Crazy Guy
sn_underworld_215,Grainne Ni Maille
sn_underworld_216,Annie Bonney
sn_underworld_217,Francesca Caccini
sn_underworld_218,Lex Talionis
sn_underworld_219,Gentileschi The Fair
sn_underworld_220,Artemisia
sn_underworld_221,Eldridge
sn_underworld_222,World of Pain

; Odsal Topon ship names,
sn_stepson_0,John Dory
sn_stepson_1,Sunfish
sn_stepson_2,Jellyfish
sn_stepson_3,Mullet
sn_stepson_4,Neon Tetra
sn_stepson_5,Sea Horse
sn_stepson_6,Guppy
sn_stepson_7,Stickleback
sn_stepson_8,Warehou
sn_stepson_9,Koi
sn_stepson_10,Lungfish
sn_stepson_11,Sturgeon
sn_stepson_12,Tench
sn_stepson_13,Manta
sn_stepson_14,Narwhale
sn_stepson_15,Sailfish
sn_stepson_16,Dogfish
sn_stepson_17,Yellowfin
sn_stepson_18,Bronze Bream
sn_stepson_19,Catfish
sn_stepson_20,Anchovy
sn_stepson_21,Sprat
sn_stepson_22,Yellow Tang
sn_stepson_23,Hammerhead Shark
sn_stepson_24,Flying Fish
sn_stepson_25,Clownfish
sn_stepson_26,Salmon
sn_stepson_27,Platty
sn_stepson_28,MudSkipper
sn_stepson_29,Loach
sn_stepson_30,Swordfish
sn_stepson_31,Pike
sn_stepson_32,Hapuku
sn_stepson_33,Carp
sn_stepson_34,Angel Fish
sn_stepson_35,Thresher Shark
sn_stepson_36,Skate
sn_stepson_37,Sting Ray
sn_stepson_38,Anémone
sn_stepson_39,Tuna
sn_stepson_40,Mako Shark
sn_stepson_41,Cicilid
sn_stepson_42,Plaice
sn_stepson_43,Requin bleu
sn_stepson_44,Piranah
sn_stepson_45,Marlon
sn_stepson_46,Sand Eel
sn_stepson_47,Bluefin
sn_stepson_48,Pufferfish
sn_stepson_49,Starfish
sn_stepson_50,Conger Eel
sn_stepson_51,Blowfish
sn_stepson_52,Nautilus
sn_stepson_53,Barracuda
sn_stepson_54,Manowar
sn_stepson_55,Tiger Shark
sn_stepson_56,Rainbow Trout
sn_stepson_57,Snapper rouge
sn_stepson_58,Flounder
sn_stepson_59,Monkfish
sn_stepson_60,Goldfish

; Maas corporation names,

sn_maas_0,Spirit of Excellence
sn_maas_1,Spirit of Venture
sn_maas_2,Triumph of Capitalism
sn_maas_3,Spirit of Achievement
sn_maas_4,Triumph of Mind
sn_maas_5,Spirit of Affluence
sn_maas_6,Protecting Investment
sn_maas_7,Monetary Value
sn_maas_8,Spirit of Investment
sn_maas_9,Triumph of Reason
sn_maas_10,March of Progress
sn_maas_11,Trust in Order
sn_maas_12,Spirit of Wisdom
sn_maas_13,March of Reason
sn_maas_14,Spirit of Loyalty
sn_maas_15,Age of Reason
sn_maas_16,Righteous Endeavour
sn_maas_17,Triumph of Monopoly
sn_maas_18,Spirit of Profit
sn_maas_19,Clarity of Capital
sn_maas_20,Spirit of Liberty
sn_maas_21,Spirit of Success
sn_maas_22,Monetary Reason
sn_maas_23,Spirit of Speculation
sn_maas_24,Unified Policy
sn_maas_25,Spirit of Enterprise
sn_maas_26,Triumph of Unity
sn_maas_27,Grand Scheme
sn_maas_28,Age of Progress
sn_maas_29,Dawn of Prosperity
sn_maas_30,Spirit of Prosperity
sn_maas_31,New World Order
sn_maas_32,Triumph of Affluence
sn_maas_33,Forward Together
sn_maas_34,Spirit of Reason
sn_maas_35,Age of Capitalism
sn_maas_36,Spirit of Fortune
sn_maas_37,March of Capitalism
sn_maas_38,Spirit of Attainment
sn_maas_39,Spirit of Triumph
sn_maas_40,Laissez-faire
sn_maas_41,Spirit of Endeavour
sn_maas_42,Market Forces
sn_maas_43,Economies of Scale
sn_maas_44,Spirit of Wealth

; police ship names,

sn_police_0,Victor Papa Tango
sn_police_1,Oscar X-ray Delta
sn_police_2,Yankee Zulu Echo
sn_police_3,Oscar Foxtrot Foxtrot
sn_police_4,Whisky Whisky Hotel
sn_police_5,Yankee Kilo Delta
sn_police_6,Juliet Quebec Victor
sn_police_7,Zulu Foxtrot Bravo
sn_police_8,Foxtrot Bravo Quebec
sn_police_9,Lima Mike Mike
sn_police_10,Foxtrot Bravo Lima
sn_police_11,Alpha Yankee X-ray
sn_police_12,Foxtrot Alpha Zulu
sn_police_13,Alpha Hotel Papa
sn_police_14,Alpha Echo Oscar
sn_police_15,Romeo Sierra Tango
sn_police_16,Delta November Zulu
sn_police_17,Bravo Kilo Kilo
sn_police_18,November Alpha Echo
sn_police_19,Delta Delta Oscar
sn_police_20,Victor Papa Foxtrot
sn_police_21,November X-ray Charlie
sn_police_22,Delta Delta Lima
sn_police_23,Yankee Golf Papa
sn_police_24,Alpha Golf Zulu
sn_police_25,Echo Delta Zulu
sn_police_26,Kilo Papa Alpha
sn_police_27,Delta Mike Delta
sn_police_28,Kilo Lima Charlie
sn_police_29,Alpha Yankee Zulu
sn_police_30,Yankee Kilo India
sn_police_31,Alpha Charlie Oscar
sn_police_32,Victor Lima November
sn_police_33,Alpha Hotel Lima
sn_police_34,Foxtrot Bravo Bravo
sn_police_35,Kilo Lima Delta
sn_police_36,Victor India Hotel
sn_police_37,Delta Delta November
sn_police_38,Sierra Tango Yankee
sn_police_39,Delta Mike Oscar
sn_police_40,Tango Tango Quebec
sn_police_41,Delta Delta Bravo
sn_police_42,Delta Mike X-ray
sn_police_43,Charlie Charlie Papa
sn_police_44,Lima Hotel Golf
sn_police_45,Delta Mike Alpha
sn_police_46,Delta Delta Hotel
sn_police_47,Victor Papa Oscar
sn_police_48,Kilo Foxtrot Papa
sn_police_49,Lima Romeo Hotel
sn_police_50,Bravo Kilo Romeo
sn_police_51,Alpha Yankee Hotel
sn_police_52,Alpha Yankee Foxtrot
sn_police_53,Foxtrot Uniform Kilo
sn_police_54,Yankee Kilo Lima
sn_police_55,Foxtrot Bravo Charlie
sn_police_56,Kilo Lima Charlie
sn_police_57,Uniform Alpha Golf
sn_police_58,Romeo November Papa
sn_police_59,Golf Oscar Charlie
sn_police_60,Alpha Hotel Oscar


; marauder ship names,
sn_marauder_0,Blood Frenzy
sn_marauder_1,Purgator
sn_marauder_2,Faucon noir
sn_marauder_3,Pollutor
sn_marauder_4,Blackheart
sn_marauder_5,Annihilator
sn_marauder_6,Schopenhauer
sn_marauder_7,Unhinged
sn_marauder_8,Ghoul
sn_marauder_9,Contaminator
sn_marauder_10,Defiler
sn_marauder_11,Agitator
sn_marauder_12,Bilious
sn_marauder_13,Hard As Nails
sn_marauder_14,Widowmaker
sn_marauder_15,Régicide
sn_marauder_16,Intoxicator
sn_marauder_17,Pustulator
sn_marauder_18,Merciless
sn_marauder_19,Infanticide
sn_marauder_20,Brutator
sn_marauder_21,Reaperman
sn_marauder_22,Twisted Crone
sn_marauder_23,Offal
sn_marauder_24,Wraith
sn_marauder_25,Destructor
sn_marauder_26,Dominator
sn_marauder_27,Aussie
sn_marauder_28,Calice noir
sn_marauder_29,Pertubator
sn_marauder_30,Gloom
sn_marauder_31,Tombstone
sn_marauder_32,Génocide
sn_marauder_33,Damned
sn_marauder_34,Dark Child
sn_marauder_35,Disembowler
sn_marauder_36,Bile
sn_marauder_37,Degrader
sn_marauder_38,Cannibal
sn_marauder_39,Shadow
sn_marauder_40,Nietzche's Ghost
sn_marauder_41,Ulcerator
sn_marauder_42,Massacre
sn_marauder_43,Messe noire
sn_marauder_44,Decomposer
sn_marauder_45,Leprosy
sn_marauder_46,Temptator
sn_marauder_47,Blood Oath
sn_marauder_48,Blue Bruiser
sn_marauder_49,Stagnator
sn_marauder_50,Demolisher
sn_marauder_51,Depravator
sn_marauder_52,Scurvy
sn_marauder_53,Anthrax
sn_marauder_54,Blood Frenzy
sn_marauder_55,Mucus
sn_marauder_56,War Child
sn_marauder_57,Blood Eagle
sn_marauder_58,Deicide
sn_marauder_59,Scorn
sn_marauder_60,Blood Sacrifice

; Oman ship names,
sn_oman_0,Najiyah
sn_oman_1,Rukan
sn_oman_2,Amber
sn_oman_3,Manar
sn_oman_4,Numa
sn_oman_5,Ghayda
sn_oman_6,Qubilah
sn_oman_7,Rida
sn_oman_8,Jumanah
sn_oman_9,Ikram
sn_oman_10,Hayfa
sn_oman_11,Malika
sn_oman_12,Anan
sn_oman_13,Hadiya
sn_oman_14,Halah
sn_oman_15,Alima
sn_oman_16,Suhaymah
sn_oman_17,Sabah
sn_oman_18,Aliyyah
sn_oman_19,Ghaliyah
sn_oman_20,Zaynah
sn_oman_21,Rafa
sn_oman_22,Abra
sn_oman_23,Nazahah
sn_oman_24,Rasha
sn_oman_25,Luloah
sn_oman_26,Maha
sn_oman_27,Salwa
sn_oman_28,Tahirah
sn_oman_29,Amal
sn_oman_30,Zahirah
sn_oman_31,Faizah
sn_oman_32,Nibal
sn_oman_33,Wafa'
sn_oman_34,Mufidah
sn_oman_35,Nawal
sn_oman_36,Maymunah
sn_oman_37,Bahira
sn_oman_38,Samihah
sn_oman_39,Maram
sn_oman_40,Yumn
sn_oman_41,Wajihah
sn_oman_42,Biliqis
sn_oman_43,Nada
sn_oman_44,Khulud
sn_oman_45,Aminah
sn_oman_46,Wafiyyah
sn_oman_47,Sahar
sn_oman_48,Ruwaydah
sn_oman_49,Anbar
sn_oman_50,Kamilah
sn_oman_51,Siham
sn_oman_52,Suhaymah
sn_oman_53,Dalal
sn_oman_54,Wisal
sn_oman_55,Nafishah
sn_oman_56,Abia
sn_oman_57,Sana
sn_oman_58,Munirah
sn_oman_59,Kawthar
sn_oman_60,Firdaws
sn_oman_61,Husn
sn_oman_62,Janan
sn_oman_63,Amirah
sn_oman_64,Hibah
sn_oman_65,Sameh
sn_oman_66,Talibah
sn_oman_67,Yasmin
sn_oman_68,Sharazad
sn_oman_69,Bushra
sn_oman_70,Atiya
sn_oman_71,Intisar
sn_oman_72,Rabad
sn_oman_73,Azzah
sn_oman_74,Majidah
sn_oman_75,Malak
sn_oman_76,Fadilah
sn_oman_77,Badi'a


; MCA ship names,

sn_mca_0,Mafeking
sn_mca_1,Oslo
sn_mca_2,Bangalore
sn_mca_3,Port Said
sn_mca_4,Bampour
sn_mca_5,Prague
sn_mca_6,Jérusalem
sn_mca_7,Paris
sn_mca_8,Manila
sn_mca_9,Antioche
sn_mca_10,Monbassa
sn_mca_11,Tripoli
sn_mca_12,Karachi
sn_mca_13,Lourdes
sn_mca_14,Minnéapolis
sn_mca_15,Toulouse
sn_mca_16,Zanzibar
sn_mca_17,Punjab
sn_mca_18,Saskatoon
sn_mca_19,Tours
sn_mca_20,Istanbul
sn_mca_21,Amsterdam
sn_mca_22,Mogadiscio
sn_mca_23,Toulon
sn_mca_24,Beyrouth
sn_mca_25,Kiev
sn_mca_26,Marrakesh
sn_mca_27,Caen
sn_mca_28,Christchurch
sn_mca_29,Winnipeg
sn_mca_30,Montréal
sn_mca_31,Assouan
sn_mca_32,Strasbourg
sn_mca_33,Baghdad
sn_mca_34,Entebbe
sn_mca_35,Jaipur
sn_mca_36,Bordeaux
