Santa Romera System,Santa Romera-System
Hot Rock Independent Waystation,"Raststation, Hot Rock "
Hot Rock L-Point,"L-Punkt, Hot Rock "
Hot Rock Orbital Transfer Station,"Transferstation, Hot Rock"
Brotherhood,Brotherhood
Brotherhood Exile Ark,"Arche, Brotherhood"
Brotherhood Exile Collective Settlement,"Kollektiv, Brotherhood"
Brotherhood Independent Docking Station,"Andockstation, Brotherhood "
Brotherhood Independent Settlement,"Gemeinde, Brotherhood "
Brotherhood Underworld Pirate Outpost,"Schlupfwinkel, Brotherhood "
The Ritz,Ritz
Maxentius,Maxentius
Maxentius NOMEX Radioactives Mine,"Atommine, Maxentius"
Maxentius NOMEX Orbital Transfer Station,"Transferstation, Maxentius "
Licinius,Licinius
Licinius NOMEX Rare Metals Mine,"Mine seltener Metalle, Licinius"
Licinius Underworld Gangster Hideout,"Freie Stadt, Licinius"
Licinius Nomex Orbital Transfer Station,"Transferstation, Licinius"
Constantine,Constantine
Liberty,Liberty
Liberty Independent Settlement,"Neustadt, Liberty "
Liberty NOMEX Docking Station,"Andockstation, Liberty"
Liberty NOMEX Warehouse,"Lagerhaus, Liberty"
Liberty Government System Administration,Systemverwaltung
Liberty Military System Defence Station,Oberbefehl der Systemverteidigung
Liberty Police Base,"Polizeihauptquartier, Liberty "
Liberty City,"Großstadt, Liberty"
Liberty Waystation,"Raststation, Liberty"
Liberty System Defense Station,Systemverteidigungsstation
Liberty Marshalling Yard,"Sammelpunkt, Liberty"
Liberty MAAS Docking Station,Maas Andockstation
Liberty MAAS Warehousing,Maas Lagerhaus
Liberty Network54 Transmission Station,Network159-Sender
Liberty Infonet Transmission Station,"InfiroNet-Sender, Liberty"
Libery Beanstalk,"Himmelsleiter, Liberty"
Libery Beanstalk,"Transferstation, Liberty"
Snowball,Snowball
Liberty L-Point,"L-Punkt, Liberty"
Jump Accelerator,Sprungbeschleuniger
Super Freighter Service Depot,Superfrachter-Wartungsdepot
Snowball Independent Water Mine,"Wassermine, Snowball"
Snowball Independent Transfer Station,"Transferstation, Snowball "
Mercy,Mercy
Mercy NOMEX Fusionable Gases Mine,"Gasmine, Mercy "
Jewel,Jewel
Jewel Independent Homestead,"Anwesen, Jewel "
Gem,Gem
Gem Government Medicare Orbital,"Orbit-Krankenstation, Gem "
Gem Independent Settlement,"Gemeinde, Gem"
Gem Transfer Station,"Transferstation, Gem "
Grace,Grace
Grace MAAS Fusionable Gases Processing Plant,"Fusionsgaswerk, Grace"
Grace MAAS Organics Mine,"Mine organischer Stoffe, Grace"
Grace MAAS Organics Processing Plant,"Verarbeitungsanlage für organische Stoffe, Grace"
Grace MAAS Plastics Manufacturing Plant,Maas Plastikfabrik
Grace MAAS Radioactives Processing Plant,Maas Atomare Aufbereitungsanlage
Grace MAAS Security Station,Maas Sicherheitsstation
Grace Independent Water Processing Plant,"Kläranlage, Grace"
Grace Independent Leisure Station,"Freizeitstation, Grace"
Grace Orbital Transfer Station,"Transferstation, Grace "
Justice,Justice
Justice Government High Security Prison,"Gefängnis, Justice"
Justice Military Police Base,"Militärpolizei-Hauptquartier, Justice"
Charity,Charity
Charity Military Naval Outpost,"Marinevorposten, Charity"
Grumpy,Grumpy
Sleepy,Sleepy
Happy,Happy
Dopey,Dopey
Sneezy,Sneezy
Doc,Doc
Bashful,Bashful
Peace,Peace
Peace L-Point,"L-Punkt, Peace "
Hope,Hope
Hope Government Garden Orbital,"Orbit-Garten, Hope"
Hope Government Medicare Orbital,"Orbit-Krankenstation, Hope"
Hope Independent Fusionable Gases Mine,"Fusionsgasmine, Hope"
Hope Independent Waystation,"Raststation, Hope "
Cathedral of Santa del Fuego,Kathedrale von Santa del Fuego
St Mark,St Mark
St Mark Government STL Comms Interchange,"STL-Kommunikationsschaltstelle, St Mark"
St Mark Government STL Transceiver,"STL-Relaisstation, St Mark"
St George,St George
St George Independent Rare Metals Mine,"Mine seltener Metalle, St George"
St George Independent Waystation,"Raststation, St George"
St George Naval Defence Station,"Marineverteidigungsstation, St George"
St George's L-Point,"L-Punkt, St George "
St George Independent Transfer Station,"Transferstation, St George"
St Basilissa,St Basilissa
St Barnabas,St Barnabas
St Genofeva,St Genofeva
St Genofeva Government Medicare Orbital,"Orbit-Krankenstation, St Genofeva"
St Genofeva Government STC Post,"RFK-Station, St Genofeva"
St Genofeva L-Point,"L-Punkt, St Genofeva"
St Genofeva Naval Supply Depot,"Marinenachschubdepot, St Genofeva"
St Genofeva System Defence Station,"Verteidigungsstation, St Genofeva"
St Sebastian,St Sebastian
St Sebastian Exile Hermitage,"Klause, St Sebastian"
St Bona,St Bona
St Bona Exile Hideout,"Schlupfwinkel, St Bona "
St Bona Exile Mad Scientist Lab,"Labor, St Bona "
St Bona L-Point,"L-Punkt, St Bona "
St Jude,St Jude
St Jude Naval Base,"Marinebasis, St Jude"
St Elmo,St Elmo
St Elmo Exile Mad Scientist Lab,"Forschungsinstitut, St Elmo "
St Elmo Naval Fortress,"Marinefestung, St Elmo "
St Elmo Naval Perimeter Defences,"Marinerundumverteidigung, St Elmo"
St Elmo Naval Research Facility,"Marineforschungsinstitut, St Elmo"
St Erasmus,St Erasmus
St Erasmus Exile Hideout,"Hüttensiedlung, St Erasmus "
St Erasmus Government FTL Comms Array,"FTL-Kommunikationssystem, St Erasmus"
St Erasmus Government FTL Comms Interchange,"FTL-Kommunikationsschaltstelle, St Erasmus"
St Erasmus Government Medicare Orbital,"Orbit-Krankenstation, St Erasmus "
St Erasmus Independent Common Metals Mine,"Metallmine, St Erasmus"
St Erasmus L-Point,"L-Punkt, St Erasmus"
St Erasmus Marine Barracks,"Marinekaserne, St Erasmus "
Breeze Conurbation,"Ballungsgebiet, Breeze"
Breeze Independent Settlement,"Zusatzballungsgebiet, Breeze"
Liberty Independent Settlement 1,Dewsbury
Liberty Independent Settlement 2,"Freie Stadt, Liberty"
