Hoffer's Wake System,Hoffer's Wake-System
Touchdown NOMEX Orbital Processor,SOLAN Orbit-Aufbereitungsanlage
Touchdown NOMEX Orbital Habitat,SOLAN Orbit-Siedlung
Touchdown L.O.R. Platform,LOR-Plattform
Touchdown NOMEX Security Station,SOLAN Sicherheitsstation
Touchdown Orbital Transfer Station,"Orbit-Transferstation, Touchdown"
Greenback,Greenback
Touchdown L-Point,"L-Punkt, Touchdown"
Greenback Stepson Villa,"Stepson Villa, Greenback"
Greenback Stepson Summerhouse,"Stepson Sommerhaus, Greenback"
Greenback Agri-Orbital 1,"Orbit-Agrarstation 1, Greenback"
Greenback Agri-Orbital 2,"Orbit-Agrarstation 2, Greenback"
Greenback Agri-Orbital 3,"Orbit-Agrarstation 3, Greenback "
Greenback Orbital Transfer Station,"Orbit-Transferstation, Greenback"
Hope,Hope
Hope Stepson Spring,"Stepson Quelle, Hope"
Hope Orbital Transfer Station,"Transferstation, Hope"
Twinkle,Twinkle
Pit,Pit
Zira,Zira
Zira Common Metals Mines,"Metallmine, Zira"
Henge,Henge
Blackfoot,Blackfoot
Skavey,Skavey
Tunnel,Tunnel
Galan,Galan
Freetown,Freetown
Freetown Ship Park,"Werft, Freetown"
Freelancers co-op HQ,Freelancer-Kollektivhauptquartier
Patchwork,Patchwork
Hoffer's Asteroid Belt,"Hoffer's Asteroidengürtel"
Hoffer's Heel Ship Park,"Werft, Hoffer's Heel"
Kirk,Kirk
Gaisha Mining Co,Gaisha Bergbaubetriebe
Blight,Blight
Blight Munitions Technologies,"Munitionsfabrik, Blight"
Zaius,Zauis
Gabriel,Gabriel
Gabriel Defense Station,"Verteidigungsstation, Gabriel"
Topov,Topow
Andre,Andre
Eustace,Eustace
Grimwald,Grimwald
Box Town,Box Town
Grimwald Container Yard,"Containerhof, Grimwald "
Grimwald Collection Station I,"Sammelpunkt I, Grimwald "
Camel Back,Camel Back
Cavanerri,Cavanerri
Malvem,Malvem
Malvem Exotic Metals Mine,"Spezialmetallmine, Malvem "
Tremour,Tremour
Tremour Common Metals Mine,"Metallmine, Tremour"
Gavin's Rock,Gavin's Rock
Le Verrier,Le Verrier
Independent Hauler Co,Freies Transportunternehmen
Ariane,Ariane
Jim Bob's,Jim Bob's
Charlesworth Freight Service Depot,Charlesworth Frachterwartungsdepot
Enclave,Enclave
Zion,Zion
Scallywag,Scallywag
Rebecca,Rebecca
Police Patrol Station,Polizeipatrouillenstation
Ariane Collection Station II,"Sammelpunkt II, Ariane"
O'Gradys Trading Post,O'Gradys Handelsniederlassung
Ariane Common Metals Mines,"Metallmine, Ariane"
Buddokan,Budokan
Freelancers Co-op Aid Centre,Freelancer-Kollektivhilfszentrale
Spring Heeled Jack's,Spring Heeled Jack's
Moonmist,Moonmist
Covenant,Covenant
Stanu,Stanu
Aldo,Aldo
Aldo Common Metals Mine,"Metallmine, Aldo"
Stockade,Stockade
Stockade Camp,"Camp, Stockade"
Hoffer's Gap Entertainment Complex,"Freizeitkomplex, Hoffer's Gap"
Hoffer's Gap Independent Trading Post,"Handelsniederlassung, Hoffer's Gap "
Maurice's Freighter Service Depot,Maurice' Frachterwartungsdepot
The Hole,Hole
Ursus,Ursus
Ursus Common Metals Mine,"Metallmine, Ursus"
Milo,Milo
Torridan,Torridan
Faraday,Faraday
Ballyhoo Rare Metals Mine,"Metallmine, Ballyhoo"
Gretchin,Gretchin
Pebble,Pebble
Les Campanas,Les Campanas
Alexander,Alexander
MAAS Orbital Processing Plant,Maas Orbit-Verarbeitungsanlage
MAAS Freighter Waystation,Maas Frachterraststation
MASS Systems Habitat,Maas Corporation Wohnanlage
MAAS Systems Security Station,Maas Systems Sicherheitsstation
Alexander Network 54 Transmittion Station,Network159-Sender
Cleitus,Cleitus
Alexander L-Point,"L-Punkt, Alexander"
Alexander Sentry Station,"Wachstation, Alexander "
L-Point Defence Star,L-Punkt-Verteidigungsarsenal
Courier Transmission Station,Kurierübermittlungsstation
Weimar Station,Weimar Station
Cleitus Common Metals Processing Plant,Cleitus Metallverarbeitungsanlage
Rottweiler Station,Rottweiler Station
Darius,Darius
Darius Penetentiary XII,Gefängnis XII
Darius Penitentiary Mines,Gefängnisminen
Darius Orbital Transfer Station,"Transferstation, Darius"
Bessus,Bessus
Bessus Laplace Residential Habitat,NSO Laplace Wohnblock
Bessus Laplace Exotic Metals Processing Plant,NSO Laplace Spezialmetall-Verarbeitungsanlage
Bessus Laplace Exotice Metals Mines,NSO Laplace Spezialmetallmine
Laplace Construction Platform,NSO Laplace Bauplattform
Bessus Laplace Security Station,NSO Laplace Sicherheitsstation
Bessus Orbital Transfer Station,"Transferstation, Bessus "
Memnon,Memnon
Hoffers Port,Hoffer's Port
Hoffers Wake Police Headquarters,"Polizeihauptquartier, Hoffer's Wake"
Hoffers Port Orbital,"Orbitstation, Hoffer's Port"
Memnon Beanstalk,"Himmelsleiter, Memnon"
Memnon Beanstalk,"Transferstation, Memnon"
Memnon Military System Defence Dock,Systemverteidigungsdock
Macedonian Shipping and Haualge,Macedonian Fracht und Transport
Blackeye,Blackeye
Danzig,Danzig
Dog 1 Orbital,"Orbitstation, Dog 1"
Marauders Supply Depot,Marauder-Nachschubdepot
Deep Sytems Research Facility,Deep Systems Forschungseinrichtung
Blackeye L-point,"L-Punkt, Blackeye "
Krakow,Krakow
Krakow FTL Comms Array,"FTL-Kommunikationssystem, Krakow"
Hoffer's Wake Beta,Hoffer's Wake Beta
Corinthia,Corinthia
Haven Station,Haven Station
Haven Station Construction Yard,"Baugelände, Haven Station"
YellowRock,Yellow Rock
Corinthia L-Point,"L-Punkt, Corinthia"
Haven Rare Metals Mines,"Metallmine, Haven"
Haven Rare Metals Processing,"Metallverarbeitungsanlage, Haven "
Haven Security Station,"Sicherheitsstation, Haven "
Yellowrock Orbital Transfer Station,"Orbit-Transferstation, Yellow Rock "
Gimble,Gimble
Rossywell Research Lab,Rossywell Forschungslabor
Hoffer's Heel,Hoffer's Heel
Hoffer's Heel City,"Großstadt, Hoffer's Heel"
Hoffer's Gap,Hoffer's Gap
Hoffer's Gap City,Hoffer's Gap
,
,
,
,


















































