; FILE NAMEFAct2_master.csv,FRENCH
a2_master_dialogue_indigo_mca_stands_for,"MCA signifie Mwari Colonial Alliance. La MCA a pris le système en main après que les corpos nous ont abandonné. Nous avons instauré la démocratie et fait de Mwari une puissance industrielle forte du système, indépendante des corporations et du gouvernement pourri de l'Amas. Mais les Marauders nous ont porté un rude coup et isolé Mwari du reste des Badlands. Avec ce gouvernement qui refuse de nous aider, nous sommes contraints de faire appel à des mercenaires hors de prix."
a2_master_dialogue_clay_these_mca_folk_are_intense,"Ouah. Ces gars de la MCA ne plaisantent pas. Enfin, je suppose qu'elle a ses raisons. La situation de Mwari est pire que celle de la League."
a2_master_dialogue_jackson_your_reputation_proceeds_you_my_johnson,"Votre réputation vous a précédé, Monsieur Johnston. Si vous voulez bien vous arrimer à ma modeste demeure, nous pourrons discuter de votre situation."
a2_master_dialogue_clay_i_recognise_that_voice,Je reconnais cette voix.
a2_master_dialogue_cal_what_voice,Quelle voix ?
a2_master_dialogue_clay_frederick_jackson_i_recognise_his_voice,Frederick Jackson. J'ai déjà entendu cette voix quelque part...
a2_master_dialogue_cal_where,Où ça ?
a2_master_dialogue_clay_dunno_but_it_must_have_been_a_long_long_time_ago,"Je sais pas, mais ça doit faire un bon bout de temps. Mes cellules de mémoire conservent parfaitement les données sur trente ans, mais au delà, les liens associatifs tendent à s'atrophier. Les souvenirs s'effacent si je n'y pense pas..."
a2_master_dialogue_cal_great_so_now_i_gotta_listen_to_the_ramblings_of_a_geriatric,"Génial. Si votre vie est en danger, demandez donc conseil à un vieux grille-pain qui perd la mémoire..."
a2_master_dialogue_clay_i_aint_geriatric_and_i_aint_no_toaster,"Je ne suis pas vieux et je ne suis pas un grille-pain, fiston ! Et je suis sûr qu'on ne sait pas tout sur ce dénommé Jackson... "
a2_master_dialogue_clay_remember_why_we_are_here,"Souviens-toi, fiston, on est là pour représenter la League. Il faut que nous parlions à ce Jackson."
a2_master_dialogue_jackson_welcome_mr_johnston,"Bienvenue, Monsieur Johnston. J'attendais votre arrivée. Vos exploits à la Faille de Hoffer ont fait beaucoup de vagues, et je suis sûr que la League ne sera pas déçue de votre gestion de la situation actuelle. Que puis-je faire pour vous aider ?"
a2_master_option_cal_how_come_you_know_so_much_about_me,Comment se fait-il que vous en sachiez autant sur moi ?
a2_master_dialogue_cal_how_come_you_know_so_much_about_me,Comment se fait-il que vous en sachiez autant sur moi et sur cette opération ?
a2_master_dialogue_jackson_i_have_a_scholars_interest_in_the_badlands,"Parce que, mon jeune ami, je porte un intérêt... académique aux affaires des Badlands. J'aime garder un oeil sur les évènements. Vos actions à la Faille de Hoffer vous ont forgé une belle réputation. Et si je ne me trompe, l'opération en cours peut affecter l'avenir des Badlands tout entiers."
a2_master_option_cal_how_do_my_current_actions_affect_the_badlands,Comment mes actions affecter les Badlands ?
a2_master_dialogue_cal_how_do_my_current_actions_affect_the_badlands,Comment mes actions pourraient-elles affecter l'avenir des Badlands ?
a2_master_dialogue_jackson_because_times_are_changing,"Je ne suis pas devin, mais je vois bien que les temps changent. Depuis soixante-dix ans, la propagande corpo pousse les factions des Badlands à l'affrontement. Mais les clans divisés des Badlands ont bien plus en commun que le gouvernement ne leur laisse croire. Cal, vous êtes une des premières personnes à pouvoir faire coopérer ces factions. Un changement s'annonce, et vous êtes en mesure d'en définir l'aspect."
a2_master_option_cal_are_you_going_to_help_the_league,Vous pourriez aider la League...
a2_master_dialogue_cal_are_you_going_to_help_the_league,Vous pourriez aider la League à combattre les Marauders.
a2_master_dialogue_jackson_yes_and_no,"Je crois que vous avez surestimé le système Coyote si vous pensez que nous sommes aussi nombreux et aussi bien organisés que la League, ou même que les Stepson ou les Kong. Nous ne sommes pas en mesure d'apporter une aide militaire à nos alliés. Nos rares vaisseaux passent leur vie à régler nos propres problèmes de Marauders. Mais peut-être pouvons-nous vous fournir quelques conseils. Je vous invite à commencer par contacter la MCA, la Mwari Colonial Alliance. Elle est la faction indépendante la mieux organisée des Badlands. Leur représentant, ou ambassadeur comme ils préfèrent l'appeler, se terre actuellement sur l'Arche Brotherhood, dans le système Santa Romera."
a2_master_dialogue_cal_tell_me_about_mca_org,"Parlez-moi de la MCA."
a2_master_dialogue_jackson_the_mca_are_the_mwari_colonial,"La MCA est la Mwari Colonial Alliance, un organisme élu qui gouverne et défend le système Mwari. C'est la faction indépendante la mieux organisée des Badlands. Vous devriez pouvoir trouver leur ambassadeur à l'Arche Brotherhood, dans le système Santa Romera."
a2_master_dialogue_cal_tell_me_about_coyote,Parlez-moi de Coyote.
a2_master_dialogue_jackson_coyote_is_the_least_developed,"Coyote est le système le moins développé de l'Amas des Badlands. Il n'a été colonisé qu'après le grand effondrement. Nous avons relativement peu de ressources minérales, donc les grandes corporations ne se sont pas bousculées pour prendre des concessions. De ce fait, nous avons attiré beaucoup d'indépendants. Hélas, notre liberté vis-à-vis des Corpos s'est évanouie. Maas systems a implanté beaucoup d'installations au cours des cinq dernières années. Ces gens se sont regroupés au coeur du système et ont fait en sorte que personne ne vienne les déranger. A part ça, Coyote est un système plutôt calme. On peut même dire que c'est un trou perdu."
a2_master_dialogue_cal_tell_me_about_coyote_again,Dites m'en plus à propos de Coyote.
a2_master_option_cal_how_come_you_speak_for_coyote,Pourquoi est-ce vous qui représentez Coyote ?
a2_master_dialogue_cal_how_come_you_speak_for_coyote,Pourquoi est-ce vous qui représentez tous les indépendants de Coyote ?
a2_master_dialogue_jackson_not_through_any_design_on_my_part,"Pas par choix, je vous l'assure. Ma carrière politique est finie depuis longtemps. Mais les indépendants me considèrent  comme leur porte-parole, sûrement parce que je l'ouvre plus que les autres. Mais ne vous en faites pas, Cal. Mon coeur est en bonne place."
a2_master_dialogue_cal_bye_fred,C'est tout.
a2_master_dialogue_jackson_anything_else,Puis-je encore vous être utile ?
a2_master_dialogue_jackson_ok_goodbye_cal_and_before_i_forget,"Au revoir, Cal. Revenez quand vous voulez. Oh, et avant que j'oublie, je vois passer pas mal de marchandises. Si vous êtes intéressé par une remise à niveau de vaisseau à prix raisonnable, vous savez où me trouver..."
a2_master_dialogue_jackson_ok_goodbye_cal,"Au revoir, Cal. Revenez quand vous voulez."
a2_master_dialogue_stc_hi_there_traffic_control,"Salut. Bienvenue à Eureka, le grenier des Badlands. Vous êtes maintenant dans un système surveillé. Veuillez annoncer vos intentions."
a2_master_dialogue_cal_looking_for_work,Je cherche juste du travail.
a2_master_dialogue_stc_you_might_be_a_little_dissapointed,"Eh bien, vous risquez d'être déçu de ce côté-là. J'ai bien peur que la Third Way ait fermé ce système comme une huître. Ils n'aiment déjà pas les étrangers qui visitent leur système, alors ceux qui cherchent du boulot..."
a2_master_option_cal_representative_from_hoffers_wake,Nous cherchons de l'aide contre les Marauders.
a2_master_dialogue_cal_representative_from_hoffers_wake,Je représente une faction de la Faille de Hoffer. Nous cherchons de l'aide contre les Marauders.
a2_master_dialogue_stc_i_think_you_are_in_the_wrong_system,"Vous n'êtes pas dans le bon système. Vous voyez, c'est la Third Way qui gouverne ici, et ils sont plutôt xénophobes. Pas du genre à aider des étrangers."
a2_master_dialogue_cal_just_wandering,Juste en balade.
a2_master_dialogue_stc_the_without_being_rude,"Oh, ne le prenez pas mal, mais je vous conseille de trouver un autre système pour vous balader. Ce système est administré par la Third Way, qui n'aime pas vraiment les étrangers."
a2_master_dialogue_cal_the_third_way,"C'est quoi, cette Third Way ?"
a2_master_dialogue_stc_youve_never_heard,"Vous n'avez jamais entendu parler de la Third Way ? Eh ben, on voit que vous êtes nouveaux dans le coin !"
a2_master_dialogue_stc_the_third_way_are,"La Third Way est un cartel qui contrôle toute les industries agro-alimentaires du système. Mais c'est bien plus qu'un simple cartel. Vous voyez, la Third Way a instauré un truc de pureté raciale et de religion basé sur leur, euh, style de vie sain et agraire. Si vous voulez vous faire une idée, allez donc faire un tour sur la planète Eureka."
a2_master_dialogue_stc_enjoy_your_stay_in_the_eureka_system,Bon séjour dans le système Eureka.
a2_master_dialogue_stc_why_hello_again,"Ah, vous revoilà ! Je peux faire quelque chose pour vous ?"
a2_master_dialogue_cal_tell_me_more_about_the_third_way,Dites m'en plus au sujet de cette Third Way.
a2_master_dialogue_stc_a_strange_bunch,"Qu'est-ce qu'on peut en dire ? C'est un groupe d'insulaires qui prétend, sans la moindre ironie, qu'ils sont supérieurs au reste de l'humanité. Une histoire à propos de leur style de vie agraire qui maintiendrait leur pureté. Le reste du système les ignorerait avec plaisir, mais ils contrôlent plus de quatre-vingt pour cent de la production de nourriture des Badlands. Ils sont très puissants, et il vaut mieux ne pas leur chercher des poux dans la tête."
a2_master_dialogue_cal_why_are_you_so_chatty,Pourquoi êtes-vous si bavard ?
a2_master_dialogue_stc_just_enjoy_the_company,Comme ça. J'aime la compagnie. Les types de la Third Way n'aiment pas beaucoup faire la conversation...
a2_master_dialogue_cal_no_im_fine,Non merci.
a2_master_dialogue_stc_be_seing_you2,D'accord. Bonjour chez vous !
a2_master_dialogue_stc_hello_there_again_back_for_another_visit,"Ah, encore vous. Vous revenez voir la belle Eureka ? Eh bien, je peux vous dire que, depuis votre départ, les autochtones ne se sont pas améliorés question convivialité..."
a2_master_dialogue_stc_hello_again,Re-bonjour.
a2_master_dialogue_stc_my_captain_johnson_you_seem_to,"Eh, capitaine Johnston. Le système Eureka a l'air de sacrément vous intéresser."
a2_master_dialogue_stc_welcome_back_commander_johnston,"Heureux de vous revoir à Eureka, capitaine Johnston. Bonne visite."
a2_master_dialogue_clay_looks_like_we_got_company,On dirait qu'on a de la compagnie...
a2_master_dialogue_oman_you_are_passing_through_oman_territory,"Appareil non-identifié, vous avez violé le territoire sacré des Oman. Mettez en panne et identifiez-vous."
a2_master_dialogue_clay_we_better_do_as_these_guys_say,"Je pense que nous ferions mieux de faire ce qu'ils disent, Cal. Nous avons besoin des Oman."
a2_master_dialogue_oman_what_is_your_business_here,Vous avez franchi le seuil de la zone allouée aux Oman. Nous ne vous y avons pas invité. Quelles sont les raisons de votre intrusion sur notre territoire ?
a2_master_option_cal_im_looking_for_assistance,Je cherche des alliés pour combattre les Marauders...
a2_master_dialogue_cal_im_looking_for_assistance,Je cherche des alliés pour combattre les Marauders à la Faille de Hoffer.
a2_master_dialogue_oman_you_must_speak_with_our_leader,"Pour cela, il vous faudra parler à notre chef, le cheikh Abdul-Hadi. Suivez-nous à Daru el-Salam."
a2_master_dialogue_cal_i_wish_to_speak_to_your_commander,Je voudrais parler à votre chef.
a2_master_dialogue_oman_very_well_you_are_clearly_not_a_marauder,"Entendu, car nous avons pu constater que vous n'êtes pas un Marauder. Suivez-nous à Daru el-Salam pour rencontrer le cheikh Abdul-Hadi."
a2_master_dialogue_cal_dont_mind_me,Ne vous occupez pas de moi. Je ne fais que passer.
a2_master_dialogue_oman_very_well_but_be_warned_that_the_oman_do_not_tolerate,Très bien. Mais sachez que les Oman ne tolèrent pas sur leur territoire les infidèles qui violent les lois.
a2_master_dialogue_clay_you_idiot,"On est bien avancés, fiston. On ne devait pas gagner leur soutien ?"
a2_master_dialogue_main_oman_welcome_to_daru_el_salam,"Bienvenue à Daru el-Salam, estimable étranger. Vous pouvez amarrer."
a2_master_dialogue_hadi_welcome_stranger_i_am_the_elder,"Que la paix soit avec vous. Bienvenue à Daru el-Salam, le foyer de la paix. Pardonnez l'accueil inhospitalier de ma patrouille, mais nous vivons une époque dangereuse. Je suis le cheikh Abdul-Hadi, guide et ancien des Oman. En quoi puis-je vous aider ?"
a2_master_option_cal_hoffers_wake_needs_help,Je cherche des alliés pour combattre les Marauders...
a2_master_dialogue_cal_hoffers_wake_needs_help,Je cherche des alliés pour combattre les Marauders qui harcèlent la Faille de Hoffer.
a2_master_dialogue_hadi_i_sympathise_but_we_all_have_troubles_with_the_marauders,"Je comprends votre situation. Mais nous sommes, en ces temps sombres, tous harcelés par les atrocités des Marauders."
a2_master_option_cal_i_represent_the_league,Je représente la League...
a2_master_dialogue_cal_i_represent_the_league,Je représente la League et nous cherchons des alliés pour combattre les Marauders.
a2_master_dialogue_hadi_i_know_the_league_and_understand_your_plight_but_we_are_all_having_trouble,Je connais la League et je comprends votre situation. Mais nous sommes tous harcelés par les Marauders ces temps-ci.
a2_master_dialogue_hadi_we_do_not_have_the_stregnth,Maudite soit notre faiblesse. Nous n'avons pas les moyens de vous aider militairement. Mais ceux qui le méritent peuvent compter sur d'autres formes d'aide...
a2_master_dialogue_cal_and_how_do_i_prove_myself_worthy,Hmmm. Et comment faire pour les mériter ?
a2_master_dialogue_hadi_simple_my_friend_all_we_ask_of_you,"C'est simple, mon ami. Tout ce que nous vous demandons est de passer l'épreuve que tout adolescent Oman doit réussir..."
a2_master_dialogue_clay_i_was_afraid,J'avais peur qu'il dise quelque chose dans le genre.
a2_master_dialogue_clay_the_oman_are_supposed_to_be_tough_cookies,Les Oman ont la réputation d'être des durs à cuire. Sois prudent.
a2_master_dialogue_hadi_do_you_wish_to_take_the_test,Voulez-vous passer l'épreuve des Oman ?
a2_master_dialogue_cal_yes_ill_take_the_test,Oui. Je veux passer l'épreuve.
a2_master_dialogue_cal_not_just_yet,"Non, pas tout de suite."
a2_master_dialogue_hadi_very_good,Très bien.
a2_master_dialogue_hadi_as_you_wish,"Comme vous voulez. Allez en paix, mon ami."
a2_master_dialogue_hadi_welcome_back,Que la paix soit avec vous. Etes-vous revenu pour passer l'épreuve des Oman ?
a2_master_dialogue_abdul_welcome_back_Cal_johnston,"Que la paix soit avec vous, Cal Johnston, grand ami Oman. Je suis heureux de vous revoir à Daru el-Salam. En quoi puis-je vous aider ?"
a2_master_dialogue_cal_tell_me_about_the_oman,Parlez-moi des Oman.
a2_master_dialogue_abdul_we_are_descendents_of_the_bedoin,"Nous sommes un peuple soufi issu des tribus de bédouins de Proxima du Centaure, qui descendent eux-mêmes des bédouins de la vieille Terre. Nous sommes venus dans ce cluster des Badlands avec les premiers immigrants et nous nous sommes installés ici, dans le système de Kompira. La richesse minérale convenait à nos besoins en ressources. Le climat inhospitalier correspondait à notre amour pour la beauté de la nature sauvage, et nous a permis de repousser les agents de l'injustice, ceux qui vénèrent le luxe. Ici, nous sommes libres de combattre l'oppression qui vient du fond de soi, et dépasse celle qui vient des autres. Nous vivons selon les enseignements du Prophète et subvenons à nos besoins grâce à la mine, au commerce et à la construction de composants spécialisés pour vaisseaux spatiaux... que nous pourrons vous proposer à un tarif très intéressant. Depuis la fondation de ce système, nous avons vécu en harmonie avec notre inhospitalière mais magnifique étoile... jusqu'à la tourmente introduite d'abord par les énormes machines de la maudite Maas Corporation, puis par notre conflit avec les infidèles Marauders."
a2_master_dialogue_cal_tell_me_about_the_oman_again,Parlez-moi encore des Oman.
a2_master_dialogue_cal_have_you_had_much_marauder_trouble_recently,Avez-vous subi des attaques de Marauders récemment ?
a2_master_dialogue_hadi_there_have_been_marauder_incidents_but_we_have_dealt_with_them,"Plusieurs incidents ont eu lieu récemment, mais nous les avons réglés... à notre manière."
a2_master_dialogue_cal_how_did_you_deal_with_the_marauders,Comment vous en êtes-vous occupé ?
a2_master_dialogue_abdul_we_use_their_own_tactics_agaisnt_them,"Nous utilisons leurs propres stratégies à notre avantage. En observant leurs attaques, nous découvrons leurs faiblesses et lançons les ripostes adaptées. Si ton ennemi est un chacal, pose des pièges à chacal... Ils s'en prennent aux vaisseaux désemparés, alors nous en utilisons comme appâts, et nous les faisons exploser à l'approche des Maraudeurs. Ils utilisent de faux vaisseaux de police pour que nous nous attaquions à la police, alors nous utilisons de faux navires corpos contre eux pour qu'ils détournent leur attention. Jusqu'ici, nos ruses ont fonctionné. En dehors de leurs premières attaques, les Marauders n'ont pas réussi à nous faire beaucoup de mal."
a2_master_dialogue_cal_any_problems_i_can_help_you_with,Avez-vous des problèmes que je pourrais résoudre ?
a2_master_dialogue_abdul_we_we_have_nothing_requiring_your_skills_cal_johnston,"Nous n'avons rien qui corresponde à vos compétences, Cal Johnston, mais si les Oman ont besoin de vos services, nous vous en informerons."
a2_master_dialogue_cal_bye,"Au revoir, cheikh Abdul Hadi."
a2_master_dialogue_hadi_then_farewell_cal_johnston_peace_be_with_you,"Adieu pour l'instant, Cal Johnston. Que la paix soit avec vous."
a2_master_dialogue_cal_we_need_pilots_to_fight_the_Marauders,Nous avons besoin de pilotes pour combattre les Marauders.
a2_master_dialogue_cal_the_league_and_the_marauders,"O grand cheikh, les MCA et la League ont uni leurs forces pour stopper les Marauders. Mais il nous manque un grand nombre de pilotes pour équiper nos navires. Pouvez-vous nous aider ?"
a2_master_dialogue_abdul_i_already_have_heard_rumours_of_such_an_action,"J'ai entendu des rumeurs indiquant que les peuples divisés de cet amas oeuvraient enfin en commun pour nous débarrasser des oppresseurs. Cal Johnston, les Oman fourniront cent de leurs meilleurs pilotes à votre respectable entreprise."
a2_master_dialogue_dagda_stc_attention_arriving_vessel,"Attention, vaisseau en approche, vous êtes entré sans autorisation dans un système d'accès restreint. Veuillez rester dans un rayon de cinq kilomètres autour du point Lagrange. Si vous besoin de temps pour recharger votre condensateur de saut capsulaire, avancez jusqu'au Point d'approche 1. Le non-respect de ces consignes constituera un acte hostile et sera traité comme tel. Merci de votre coopération."
a2_master_dialogue_dagda_stc_attention_vessel_you_are_in_violation,"Attention, vaisseau, vous avez maintenant enfreint la section 36 du code de colonisation Dagda. L'usage de la force envers votre vaisseau est désormais autorisé. Veuillez demeurer à l'intérieur de la zone d'approche, dans un rayon de cinq kilomètres autour du Point Lagrange. Merci de votre coopération."
a2_master_dialogue_dagda_stc_warning,"Attention, vaisseau, vous êtes sorti de la zone d'approche de Dagda. Vous avez dix secondes pour corriger votre cap. A défaut, nous prendrons les mesures appropriées."
a2_master_dialogue_jarvis_howdy,"Salut, étranger. Premier séjour à Dagda ?"
a2_master_dialogue_cal_yeah_whats_the_score_with_all_this_entry_permit_stuff,"Ouais. C'est quoi, cette histoire d'autorisation ?"
a2_master_dialogue_jarvis_this_whole_system_is_owned_by_the_maas_corporation,"Eh bien, vous voyez, le système tout entier appartient à la Maas Corporation. Ils extraient du neutronium ici. Le neutronium est certainement le truc le plus précieux qu'on puisse récolter, et ils le protègent par tous les moyens. De vous à moi, et à tous ceux qui sont sur cette fréquence, la vraie raison est que des milliers de travailleurs sous contrat léonin ne pensent qu'à se tirer d'ici. Le travail est si épouvantable et dangereux que Maas doit recourir à ce type de main-d'oeuvre. Nombre d'entre eux ont la pauvreté pour seul crime. Sans mon vaisseau, j'aurais pu être l'un d'eux. Pour les empêcher de tous s'enfuir, Maas a implanté ce réseau de défenses mortel. Alors, à moins d'être très fort ou très stupide, il vaut mieux ne pas quitter cette zone de sécurité."
a2_master_dialogue_cal_youre_not_maas_how_come_youre_here,"Votre vaisseau n'appartient pas à Maas. Et vous n'avez pas l'air de suivre la ligne du parti Maas. Alors, qu'est-ce que vous faites ici ?"
a2_master_dialogue_jarvis_jarvis_fokker_at_your_service_freelance_vending_machine_engineer_at_your_service,"Jarvis Fokker, ingénieur indépendant en distributeurs automatiques, pour vous servir. Je suis ici parce que je suis le seul technicien de maintenance de tout l'Amas à savoir faire marcher les épaves qui servent de distributeurs de bouffe dans les quartiers des contractuels. Je ne suis pas plus fier que ça de les aider à exploiter ces pauvres bougres de contractuels, mais il faut bien gagner sa croûte, et les types de Maas paient bien."
a2_master_dialogue_trashman_would_you_please_stop_insulting_my_employer_over_an_open_channel,"Voudriez-vous arrêter d'insulter notre employeur sur un canal ouvert, Jarvis ? Je trouve ça très déplacé..."
a2_master_dialogue_jarvis_i_wondered_how_long_it_would_take,"Je me demandais combien de temps tu mettrais pour réagir, l'éboueur. Ils peuvent bien me virer s'ils n'aiment pas ce que je raconte. Tu verras ce qui se passera si les contractuels n'ont pas à bouffer ! Mais j'oublie la politesse ! Oh, le nouveau, voici l'éboueur, le glorieux transporteur de déchets. A l'entendre, on croirait qu'il dirige la Maas Corporation... alors qu'il ne fait que transporter le contenu de leurs égouts ! Hé, hé. Hein ?"
a2_master_dialogue_trashman_i_resent_that,"Je vous en prie, Jarvis. Je m'appelle Tarquin, pas l'éboueur. Et je suis choqué par votre dénigrement constant de Maas Systems. Les contractuels ne sont pas des esclaves. Ce sont des condamnés qui ont préféré ce statut à la prison ! Et Maas assure des revenus essentiels au groupe des Badlands, même si ce n'est pas du goût de tout le monde."
a2_master_dialogue_jarvis_convicted_of_poverty,"Condamnés ? Ouais, ici, être fauché est un crime. Attends un peu qu'ils fassent de la crédulité un délit, mon bel éboueur."
a2_master_dialogue_clay_talking_to_these_jokers,"Cal, discuter avec ces rigolos ne mène à rien. Il est clair que nous n'irons nulle part dans ce système sans une escadre avec nous. Ou un de leurs permis. Cassons-nous."
a2_master_dialogue_cal_your_right_clay,"T'as raison, Clay."
a2_master_dialogue_cal_thanks_for_your_help,"Merci de votre aide, Jarvis. Tarquin. A plus tard."
a2_master_dialogue_mca_you_have_entered_mca_space,Vous avez pénétré dans l'espace MCA. Annoncez vos intentions !
a2_master_option_cal_looking_for_allies,Je viens chercher des alliés...
a2_master_dialogue_cal_looking_for_allies,Je viens chercher des alliés pour combattre les Marauders dans le système de la Faille de Hoffer.
a2_master_dialogue_mca_maybe_you_hadnt_noticed,"Alors vous avez fait beaucoup de chemin pour rien. Vous ne l'avez peut-être pas remarqué, mais nous avons nos propres problèmes avec les Marauders. Nous ne pouvons pas vous aider."
a2_master_dialogue_cal_come_to_fight_marauders,Je viens combattre les Marauders.
a2_master_dialogue_mca_then_good_luck_to_you,Alors vous êtes venus au bon endroit. Vous en trouverez plein dans ce système. Bonne chance.
a2_master_dialogue_cal_mca_just_passing,Juste de passage.
a2_master_dialogue_mca_then_i_recomend_you_turn_around,Alors je recommande que vous passiez en vitesse. Mwari est en état de guerre et nous n'avons pas de temps à perdre avec les touristes.
a2_master_dialogue_mca_you_again,"Encore vous ! Pourquoi ne vous rendez-vous pas utiles en escortant un convoi dans le système, plutôt que de traîner ici ?"
a2_master_dialogue_mca_your_prescence_here_is_unwelcome,Votre présence ici n'est pas la bienvenue. Veuillez partir.
a2_master_dialogue_mca_so_you_have_finally_made_yourself_useful,"Alors, vous vous êtes finalement rendus utiles ?"
a2_master_dialogue_mca_thank_you,Merci de vous être assurés que ce convoi atteigne Mwari sain et sauf. Chaque convoi qui passe permet de prolonger la guerre contre ces bouchers de Marauders !
a2_master_dialogue_mca_unfortunately_the_situation_with_the_marauders,"Le chef du convoi nous a parlé de votre situation au sein de la League et de votre désir de vous allier pour combattre les Marauders. Malheureusement, la situation actuelle de la MCA est telle que nous ne pouvons apporter une aide directe à la League."
a2_master_dialogue_cal_tell_me_about_the_mca,Parlez-moi de la MCA.
a2_master_dialogue_mca_we_are_a_democracy,"Ce système a été colonisé par la Jardin Corporation, mais ils sont partis alors qu'ils n'avaient qu'à moitié terraformé quatre planètes. Il nous fallait stabiliser Mwari, alors, après référendum, nous avons formé la MCA. Nous sommes autonomes vis-à-vis du gouvernement des Badlands, ce qui nous convient tout à fait. En contrepartie, cela signifie hélas que nous ne pouvons espérer d'aide directe du gouvernement pour combattre les incursions des Marauders."
a2_master_dialogue_cal_tell_me_about_the_marauders,Parlez-moi des Marauders.
a2_master_dialogue_mca_the_marauders_have_been,"Cela fait deux ans que les Marauders harcèlent Mwari. Ils contrôlent la majeure partie du système à l'exception des quatre grands centres de population de Garden, Longshot, Sinecure et Cassandra. Ceci est en partie dû à l'étrange positionnement, en fond de système, du point de saut interstellaire vers Santa Romera. Désolée de ne pouvoir vous aider davantage."
a2_master_dialogue_mca_anything_else,Autre chose ?
a2_master_dialogue_mca_sorry_we_cannot_be_of_further_help,"Désolée, nous ne pouvons pas vous aider davantage pour l'instant."
a2_master_dialogue_jafs_phew_things_seem_to_have_got_a_little_intense,"Ouah ! Attends, Cal ! Ne te laisse pas entraîner, d'accord ? Je veux dire, ça commence à devenir un peu trop intense. On commençait à gagner notre vie honnêtement en tant que pirates et voilà ! On se retrouve en plein milieu d'une guerre totale ! C'est dangereux, les guerres !"
a2_master_dialogue_smith_yeah_so_what_you_gonna_say_we_just_walk_away,"Ouais ? Et alors ? Tu veux juste te tirer ? Alors, tire-toi ! Espèce de lâche. Il y avait des ENFANTS sur cette station ! Des gens qui voulaient seulement vivre mieux, et maintenant ils sont MORTS. Moi, je ne veux pas rester à regarder ces maudits Marauders tout détruire. Pas si je peux leur botter le train !"
a2_master_dialogue_jafs_hey_you_got_me_wrong,"Ouah ! Eh ! Tu te trompes sur moi. Je ne suis pas un lâche. Mais passer de la piraterie à la guerre, c'est vraiment changer de métier ! Et je n'en vois pas l'intérêt. Hmmm... Quoique, c'est dans les guerres qu'on fait les plus gros bénefs. Oh, d'accord, j'en suis. Mais pas de missions-suicide, OK ? Et ne me traite plus de lâche !"
a2_master_dialogue_ibuki_count_me_in,"Lâche. Et toi, Smith, je ne savais pas que tu avais ce côté sensible. Tu peux compter sur moi, Cal. C'est le genre de missions que j'attendais. Patrouiller dans le système Coyote est un bon début."
a2_master_dialogue_lori_me_too,"Moi aussi, je vote pour tout ce qui pourra faire la différence. Il est temps de se battre pour autre chose que du butin."
a2_master_dialogue_cal_so_its_decided_then,C'est décidé. Cherchons des alliés. J'aimerais bien pouvoir faire plus...
a2_master_dialogue_clay_back_in_yer_grandmas_day_mwari,"Du temps de ta grand-mère, Mwari, c'était quelque chose. A l'époque, les gens pensaient pouvoir en faire un paradis. Ils ont tenté d'achever la terraformation de la capitale, Sinecure, sans le soutien des corporations. Maintenant, j'ai l'impression que c'est devenu un enfer."
