a0_master_dialogue_young_cal_its_very_dark_in_here_clay,"Äh... Es ist total dunkel, Clay. Bist du sicher, dass hier alles in Ordnung ist?"
a0_master_dialogue_clay_there_are_four_types_of_loadout_you_can_pick_for_a_ship,"Hier werden die vier verschiedenen Ausstattungstypen für jedes Schiff angezeigt. Das Ausstattungssystem wählt die für den angegebenen Zweck optimale Ausrüstung für das Schiff automatisch aus. Das ist viel leichter, als alles von Hand einzustellen. Aber wenn du das lieber manuell machen willst, kannst du das natürlich auch. Die Zusatzfracht-Einrichtung brauchst du, um Güter aus der Station zu befördern.  "
a0_master_dialogue_clay_here_you_can_load_any_cargo_in_the_bases_stores,"An diesem Terminal kannst du die so genannten Waldoes anweisen, Fracht aus dem Stationsinventar in eine Frachtkapsel zu laden und diese Kapsel dann am momentan aktiven Schiff anzubringen."
a0_master_dialogue_clay_this_console_allows_you_to_modify,"Mit dieser Konsole kannst du die vier Standardausstattungen verändern, indem du den Ausstattungsalgorithmus dazu bringst, bestimmte Ausrüstungsgegenstände deiner Wahl immer in die Bestückung deines Schiffs einzuschließen."
a0_master_dialogue_clay_this_console_shows_all_the_current_systems_loaded_onto_your_currently_selected_ship,"Mit Hilfe dieser Konsole kannst du dir einen Überblick über die Systeme und Waffen verschaffen, mit denen dein Schiff momentan ausgerüstet ist."
a0_master_dialogue_clay_this_console_shows_you_all_the_cargo_kept_in_the_bases_hold,"Über diese Konsole kannst du abrufen, was sich alles im Lager der Basis befindet. Ist 'nen bisschen leer im Moment, aber du hättest es mal zu Zeiten deiner Großmutter sehen sollen - prall gefüllt mit Beute aller Art..."
a0_master_dialogue_clay_on_this_console_you_can_access_all_the_e_mail_sent_to_the_base,"An dieser Konsole hast du Zugriff auf alle E-Mails, die an die Station geschickt werden. Hast du eine E-Mail gelesen, wird sie im Archiv aufbewahrt."
a0_master_dialogue_young_cal_but_i_thought_this_place_was_supposed_to_be_secret,"Wir können E-Mails empfangen? Ich dachte, niemand sollte dieser Basis auf die Schliche kommen..."
a0_master_dialogue_clay_well_it_is_the_mail_is_routed_through_a_nmuber_of_comms_satellites,"Das kann auch keiner, denn deine Großmutter hat ein ausgeklügeltes System entwickelt, über das verschlüsselte Nachrichten durch ein ständig wechselndes Satellitenarsenal geschleust und dann auf Breitbandfrequenz gesendet werden. Die Basis empfängt die Übermittlungen dann mit ihren passiven Sensoren. Man kann die Station also kontaktieren, ohne sie orten zu können. Ganz schön clever, was?"
a0_master_dialogue_young_cal_hey_clay_theres_a_message_here,"Hey, Clay, das sieht nach 'ner Nachricht aus. Ungelesen."
a0_master_dialogue_clay_well_open_it_up_kid,Du hast Recht... Eine E-Mail mit der Signatur von deiner Großmutter. Öffne sie ruhig!
a0_master_dialogue_clay_ok_kid_if_theres_anything_you_need_to_know,"Also, wenn du irgendwas wissen willst, hilft dir diese Konsole weiter. Die Enzyklopädie enthält wirklich alles über Politik und Geografie des Badlands-Sternhaufens sowie technische Daten zu so ziemlich jedem Schiffsteil, das es gibt."
a0_master_dialogue_clay_this_console_can_access_a_compehensive_starmap,Über diese Konsole hast du Zugriff auf eine vollständige Karte des Sternhaufens. In deinem Schiff hast du eine ganz ähnliche.
a0_master_dialogue_clay_ok_the_systems_are_online,"Okay, Kleiner, die Systeme scheinen soweit wieder okay zu sein. Hoffen wir mal, dass sonst nichts durchgebrannt ist. Was sagen die Statusmeldungen auf dem Schirm da hinter dir? Irgendwelche Probleme?"
a0_master_dialogue_young_cal_no_everything_is_reporting_in_as_fuctional_so_far,"Nein. Da steht überall ""funktionsfähig""... Oh, halt mal, hier steht was von wegen... Riss im Meteorschild. Ist das schlimm? "
a0_master_dialogue_clay_OK_that_needs_sorting_out_but,"Naja, darum werden wir uns kümmern müssen, aber es ist keine dringende Sache. Jetzt wo die Systeme der Basis wieder funktionieren, schauen wir uns mal die Recycling- und die Produktionskonsole an."
a0_master_dialogue_clay_this_console_allows_you_to_take_anything_in_the,"Mit dieser Konsole kannst du alles, was du im Lager der Basis findest, in seine molekularen Bestandteile zerlegen. Das ist sehr nützlich, denn die Basis kann aus den molekularen Bestandteilen alle möglichen Sachen herstellen."
a0_master_dialogue_clay_this_here_is_the_manufacturing_console,"Das ist die Produktionskonsole. Bevor diese Station hier zur Piratenbasis wurde, war sie ein Bio-Bomber. Als deine Großmutter die Station übernahm, eignete sie sich außerdem auch an, wie man aus den richtigen Atomplänen und Rohstoffen so gut wie alles herstellen konnte. Damit hatten wir einen unerschöpflichen Vorrat an unaufspürbaren Raketen und so. Und jetzt... steht dir das alles zur Verfügung..."
a0_master_dialogue_clay_ive_looked_into_the_meteor_shielding_problem,"Also, ich hab' mir den Meteorschild mal angesehen, und die Sache ist komplizierter, als ich dachte. Du müsstest dich aufmachen und ein paar Ausrüstungsteile besorgen."
a0_master_dialogue_young_cal_sure_what_do_you_want_me_to_do,"Kein Problem, Clay. Was soll's denn sein?"
a0_master_dialogue_clay_we_need_a_flitter_to_reapir_the_shielding,"Wir bräuchten einen Nutzflitzer, um am Äußeren des Schilds arbeiten zu können. Dein Vater hat immer einen in seiner Garage bei Hoffer's Wake gehabt - den solltest du mir holen. Ich muss allerdings hierbleiben, um die restliche Station genauer zu untersuchen, also musst du alleine los. Meinst du, das schaffst du?"
a0_master_dialogue_young_cal_of_course_i_can_fly_a_ship_you_know,"Ja, klar schaff ich das! Schon vergessen, dass ich ein Schiff fliegen kann?"
a0_master_dialogue_clay_just_you_be_careful,"Natürlich nicht... Sei nur vorsichtig, hörst du? Flieg direkt zur Garage, hol den Flitzer und komm sofort wieder zurück. Keine Dummheiten, ja? Und pass auf dich auf!"
a0_master_dialogue_clay_well_your_piloting_skills_arnt_bad_for_a_kid,"Nun, als Pilot scheinst du dich ja schon ganz gut zu machen - nicht schlecht für dein Alter!"
a0_master_dialogue_young_cal_does_that_mean_we_can_do_something_other_than_fly_through_rings,"Darf ich denn jetzt endlich auch mal was anderes machen, als immer nur durch blöde Ringe zu fliegen?"
a0_master_dialogue_clay_dont_get_cocky_kid,"Hey, nicht so hastig! Das ist eine böse Welt dort draußen, verstehst du? Wenn du nicht richtig fliegen und schießen kannst, treibst du ziemlich schnell als Staub durchs All. Sag mir lieber mal, was du über das Hoffer's Wake-System weißt."
a0_master_dialogue_young_cal_well_ive_never_really_left_the_asteroid_belot_before_i_came_here,"Also... Äh... Zugegeben, ich weiß nicht allzu viel, Clay. Ich hab' ja den Asteroidengürtel bisher noch nie verlassen."
a0_master_dialogue_clay_well_reacon_its_time_to_introduce_you_to_a_few_of_the_ladmarks,"Na, wenn das so ist, dann sollten wir uns vielleicht mal ein paar Sehenswürdigkeiten von Hoffer's Wake ansehen. Und dabei können wir uns dann auch gleich nach Brennstäben umschauen."
