Santa Romera System,Système Santa Romera
Snowball Independent Transfer Station,Station de transfert Snowball
Mercy,Mercy
Mercy NOMEX Fusionable Gases Mine,Mine de gaz Mercy
Jewel,Jewel
Jewel Independent Homestead,Propriété Jewel
Gem,Gem
Gem Government Medicare Orbital,Hôpital orbital Gem
Gem Independent Settlement,Gem-bourg
Gem Transfer Station,Station de transfert Gem
Grace,Grace
Grace MAAS Fusionable Gases Processing Plant,Traitement de gaz à fusion Grace
Grace MAAS Organics Mine,Mine biologique Grace
Grace MAAS Organics Processing Plant,Traitement biologique Grace
Grace MAAS Plastics Manufacturing Plant,Usine de fabrication plastique Maas
Grace MAAS Radioactives Processing Plant,Usine de traitement de minerais radioactifs Maas
Grace MAAS Security Station,Station de sécurité Maas
Grace Independent Water Processing Plant,Usine de purification d'eau Grace
Grace Independent Leisure Station,Station de loisirs Grace
Grace Orbital Transfer Station,Station de transfert Grace
Justice,Justice
Justice Government High Security Prison,Pénitencier Justice
Justice Military Police Base,QG de police militaire Justice
Charity,Charity
Charity Military Naval Outpost,Poste naval avancé Charity
Grumpy,Sorrow
Sleepy,Joy
Happy,Girl
Dopey,Boy
Sneezy,Silver
Doc,Gold
Bashful,Secret
Peace,Peace
Peace L-Point,Point-L Peace
Hope,Hope
Hope Government Garden Orbital,Jardin orbital Hope
Hope Government Medicare Orbital,Hôpital orbital Hope
Hope Independent Fusionable Gases Mine,Mine de gaz à fusion Hope
Hope Independent Waystation,Gare Hope
Cathedral of Santa del Fuego,Cathédrale de Santa del Fuego
St Mark,St Mark
St Mark Government STL Comms Interchange,Interchangeur comms STL St Mark
St Mark Government STL Transceiver,Emetteur STL St Mark
St George,St George
St George Independent Rare Metals Mine,Mine de métaux rares St George
St George Independent Waystation,Gare St George
St George Naval Defence Station,Station navale de défense St George
St George's L-Point,Point-L St George
St George Independent Transfer Station,Station de transfert St George
St Basilissa,St Basilissa
St Barnabas,St Barnabas
St Genofeva,St Genofeva
St Genofeva Government Medicare Orbital,Hôpital orbital St Genofeva
St Genofeva Government STC Post,Poste STC St Genofeva
St Genofeva L-Point,Point-L St Genofeva
St Genofeva Naval Supply Depot,Dépôt naval logistique St Genofeva
St Genofeva System Defence Station,Station de défense St Genofeva
St Sebastian,St Sebastian
St Sebastian Exile Hermitage,Ermitage St Sebastian
St Bona,St Bona
St Bona Exile Hideout,Refuge St Bona
St Bona Exile Mad Scientist Lab,Laboratoire St Bona
St Bona L-Point,Point-L St Bona
St Jude,St Jude
St Jude Naval Base,Base navale St Jude
St Elmo,St Elmo
St Elmo Exile Mad Scientist Lab,Institut de recherche St Elmo
St Elmo Naval Fortress,Forteresse navale St Elmo
St Elmo Naval Perimeter Defences,Défenses navales de périmètre St Elmo
St Elmo Naval Research Facility,Institut naval de recherche St Elmo
St Erasmus,St Erasmus
St Erasmus Exile Hideout,Bidonville St Erasmus
St Erasmus Government FTL Comms Array,Batterie comms FTL St Erasmus
St Erasmus Government FTL Comms Interchange,Interchangeur comms FTL St Erasmus
St Erasmus Government Medicare Orbital,Hôpital orbital St Erasmus
St Erasmus Independent Common Metals Mine,Mine de métaux St Erasmus
St Erasmus L-Point,Point-L St Erasmus
St Erasmus Marine Barracks,Caserne de Marines St Erasmus
Breeze Conurbation,Conurbation Breeze
Breeze Independent Settlement,Conurbation de banlieue Breeze
Liberty Independent Settlement 1,Dewsbury
Liberty Independent Settlement 2,Ville-libre Liberty
