Formhault System,Système Fomalhaut  
Tashille Underworld Pirate Base,Tripot Tashille
Tashille Exile Collective Settlement,Collectif Tashille
Tashille Government Settlement,Tashille-ville
Tashille Transfer Station,Station de transfert Tashille
Stoner,Stoner
Stoner Exile Hideout,Repaire Stoner
Modena,Modena
Modena MAAS Fusionable Gases Mine,Mine de gaz à fusion Modena
Jahen,Jahen
Jahen NOMEX Neutronium Processing Plant,Usine de traitement de neutronium SOLAN
Jahen NOMEX Ore Transfer Station,Station de transfert minerai SOLAN
Jahen Independent Common Metals Mine,Mine de métaux Jahen
Jahen NOMEX Exotic Metals Processing Plant,Usine de traitement de métaux spéciaux Jahen
Jahen NOMEX Fusionable Gases Processing Plant,Usine de traitement de gaz à fusion Jahen
Jahen Orbital Transfer Station,Station de transfert Jahen
Chretien,Chretien
Chretien Underworld Orbital Vice Den,Casino de Lou
Chretien NOMEX Electronics Manufacturing Plant,Usine de fabrication électronique Chretien
Sharma,Sharma
Sharma Government Dome Farm,Ferme-dôme Sharma
Sharma Independent Leisure Station,Station de loisirs Sharma
Sharma Government Medicare Orbital,Hôpital orbital Sharma
Sharma Government Medicare Orbital,Hôpital orbital d'instruction Sharma
Sharma Underworld Gangster Hideout,Tripot Sharma
Sharma Independent Waystation,Gare Sharma
Sharma Independent Homestead,Propriété McDonalds
Sharma Exile Mad Scientist Lab,Laboratoires de recherche Sharma
Sharma Transfer Station,Station de transfert Sharma
Faris,Faris
FarisUnderworld Gangster Hideout,Tripot Faris
Faris Independent Homestead,Propriété Faris
Faris Government FTL Comms Interchange,Echangeur comms FTL Faris
Faris MAAS Fusion Reactor Manufacturing Plant,Usine de fabrication de réacteurs à fusion Faris
Faris Government FTL Comms Array,Batterie comms FTL Faris
Faris Exile Hermitage,Ermitage Faris
Faris MAAS Biomass Processing Plant,Usine de traitement Biomass Faris
Sharma City,Sharma-ville
Sharma Independent Settlement,Bidonville Sharma
,
,
,
,
,
,
,
,
