Formhault System,Fomalhaut-System
Miguel's Quandry Military Naval Outpost,"Marinevorposten, Miguel's Quandry "
Kashmir,Kashmir
Kashmir Government Hospice,"Hospiz, Kashmir"
Kashmir Government Medicare Orbital,"Orbit-Krankenstation, Kashmir"
Kashmir Underworld Gangster Hideout,"Flüsterkneipe, Kashmir"
Kashmir MAAS Common Metals Processing Plant,"Erzverarbeitungsanlage, Kashmir"
Genoa,Genua
Genoa Independent Fusionable Gases Mine,"Fusionsgasmine, Genua"
Focus,Focus
Focus MAAS Security Station,Maas Sicherheitsstation
Tashille,Tashille
Tashille Exile Ark,"Arche, Tashille"
Tashille Exile Religious Centre,"Kathedrale, Tashille"
Tashille Underworld Pirate Base,"Flüsterkneipe, Tashille"
Tashille Exile Collective Settlement,"Kollektiv, Tashille"
Tashille Government Settlement,"Großstadt, Tashille"
Tashille Transfer Station,"Transferstation, Tashille "
Stoner,Stoner
Stoner Exile Hideout,"Versteck, Stoner"
Modena,Modena
Modena MAAS Fusionable Gases Mine,"Fusionsgasmine, Modena"
Jahen,Jahen
Jahen NOMEX Neutronium Processing Plant,SOLAN Neutronium-Aufbereitungsanlage
Jahen NOMEX Ore Transfer Station,SOLAN Erz-Transferstation
Jahen Independent Common Metals Mine,"Metallmine, Jahen"
Jahen NOMEX Exotic Metals Processing Plant,"Spezialmetall-Verarbeitungsanlage, Jahen"
Jahen NOMEX Fusionable Gases Processing Plant,"Fusionsgaswerk, Jahen"
Jahen Orbital Transfer Station,"Transferstation, Jahen "
Chretien,Chretien
Chretien Underworld Orbital Vice Den,Lous Casino
Chretien NOMEX Electronics Manufacturing Plant,"Elektronikfabrik, Chretien"
Sharma,Sharma
Sharma Government Dome Farm,"Kuppelfarm, Sharma "
Sharma Independent Leisure Station,"Freizeitstation, Sharma"
Sharma Government Medicare Orbital,"Orbit-Krankenstation, Sharma"
Sharma Government Medicare Orbital,"Orbit-Lehrkrankenstation, Sharma"
Sharma Underworld Gangster Hideout,"Flüsterkneipe, Sharma"
Sharma Independent Waystation,"Raststation, Sharma"
Sharma Independent Homestead,"Anwesen, McDonalds"
Sharma Exile Mad Scientist Lab,"Forschungslabor, Sharma"
Sharma Transfer Station,"Transferstation, Sharma "
Faris,Faris
FarisUnderworld Gangster Hideout,"Flüsterkneipe, Faris"
Faris Independent Homestead,"Anwesen, Faris"
Faris Government FTL Comms Interchange,"FTL-Kommunikationsschaltstelle, Faris"
Faris MAAS Fusion Reactor Manufacturing Plant,"Fusionsreaktorfabrik, Faris"
Faris Government FTL Comms Array,"FTL-Kommunikationssystem, Faris"
Faris Exile Hermitage,"Klause, Faris"
Faris MAAS Biomass Processing Plant,"Biomasse-Verarbeitungsanlage, Faris"
Sharma City,"Großstadt, Sharma"
Sharma Independent Settlement,"Hüttensiedlung, Sharma"
