Firefrost System,Firefrost-System
Mountbatton Independent Electronics Engineering Manufacturing Plant,"Bauteilefabrik, Mountbatton"
Mountbatton Independent Waystation,"Raststation, Mountbatton"
Mountbatton Independent Exotic Metals Processing Plant,"Spezialmetall-Verarbeitungsanlage, Mountbatton"
Mountbatton Independent Exotic Metals Mine,"Spezialmetallmine, Mountbatton"
Callahan,Callahan
Callahan Independent Waystation,"Freie Raststation, Callahan"
Callahan Independent Homestead,"Anwesen, Callahan"
Drumsheath,Drumsheath
Drumsheath Independent Homestead,"Anwesen, Drumsheath"
Drumsheath Independent Settlement,"Stadt, Drumsheath"
Hlodyn,Hlodyn
Saint Apollonia,Saint Apollonia
Hlodyn L-Point,"L-Punkt, Hlodyn"
New Rochdale,New Rochdale
Hermintage,Klause
Clyde's Dig,Clyde's Dig
Clyde's Dig L-Point,"L-Punkt, Clyde's Dig"
Sanctuary,Anstalt
Parodox,Paradox
Shabe,Shabe
Yukotan,Yukotan
Greenfield,Greenfield
Litur,Litur
Redrock,Redrock
Euwan's Claim,Euwan's Claim
Euwan's Claim Independent Settlement,"Stadt, Euwan's Claim"
Besla,Besla
Mahomet,Mahomet
Constance,Constance
Seljuk,Seljuk
Skrymir,Skrymir
Pooka,Pooka
Thrym,Thrym
Fundiun,Fundiun
Amsu,Amsu
Reshpu,Reshpu
Fjorgynn,Fjorgynn
Nergal,Nergal
Aralu,Aralu
Damkina,Damkina
Namtar,Namtar
Nina,Nina
Shamash,Shamash
Firefrost III,Firefrost III
Nodens Blanket Independent Homestead,"Anwesen, Noden's Blanket"
Nodens Blanket Underworld Pirate Base,"Freihafen, Noden's Blanket"
Chedder Independent Homestead,"Anwesen, Chedder"
Vindalfr,Vindalfr
Sudri,Sudri
Mule,Mule
Harrison,Harrison
Black Dog,Black Dog
Nali,Nali
Cornerstone,Cornerstone
Nyi,Nyi
Nyi L-Point,"L-Punkt, Nyi "
Kingpin,Kingpin
Godfather,Godfather
Don,Don
Ginnar,Ginnar
Slime,Slime
Square Rock,Square Rock
Square Rock Government STC Post,"RFK-Station, Square Rock"
Square Rock Government STC System HQ,RFK-Systemhauptquartier
Square Rock System Defense Station,"Systemverteidigung, Square Rock"
Square Rock Infonet Transmitter station,"InfiroNet-Sender, Square Rock"
Fundin,Fundin
Square Rock L-Point,"L-Punkt, Square Rock "
Carolina,Carolina
Fith,Fith
Alfar,Alfar
Niederdruken,Niederdruken
Niederdruken Independent Common Metals Mine,"Metallmine, Niederdruken"
Niederdruken Orbital Transfer Station,"Orbit-Transferstation, Niederdruken"
Hablich,Hablich
Hablich Police Base,"Polizeistation, Hablich"
Hablich City,"Großstadt, Hablich"
Hablich Beanstalk,"Himmelsleiter, Hablich"
Hablich Beanstalk,"Transferstation, Hablich "
FallHammer,Fall Hammer
FallHammer NOMEX Electronics Manufacturing Plant,"Elektronikfabrik, Fall Hammer"
Mimir,Mimir
Nubia,Nubia
Aswan,Aswan
Tanis,Tanis
Thebes,Thebes
Thebes Exile Religious Centre,Kirche von Thebes
Thebes Government Medical Facility,"Krankenstation, Thebes"
Thebes Government Villa,"Villa, Thebes"
Thebes Underworld Vice Resort,"Casino & Nachtclub, Thebes"
Thebes Exile Agricultural Settlement,"Agrar-Farm, Thebes"
Thebes Government Hospice,"Hospiz, Thebes"
Thebes Exile Ark,"Arche, Thebes"
Thebes Exile Collective Settlement,Freedom Town
Thebes Government Planetary Administration,"Orbit-Planetenverwaltung, Thebes"
Thebes MASS Bio-Bomber 1,"Maas Bio-Bomber 1, Thebes"
Thebes MAAS Bio-Bomber 2,"Maas Bio-Bomber 2, Thebes"
Thebes MAAS Terraforming Station,"Terraform-Station, Thebes"
Ammon,Ammon
Luxor,Luxor
Giza,Giza
Giza Independent Fusionable Gases Processing Plant,"Gaswerk, Giza"
Takoshima,Takoshima
Takoshima Independent Dry Dock,"Trockendock, Takoshima "
Takoshima Independent Repair Station,"Reparaturstation, Takoshima"
Memphis,Memphis
Bacchias,Bacchias
Sif,Sif
Balder,Balder
Balder NOMEX Security Station,"Sicherheitsstation, Balder"
Vini,Vini
Vidi,Vidi
Vichi,Vichi
Vichi Independent Agricultural Settlement,"Agrar-Siedlung, Vichi "
Nodens Blanket,Noden's Blanket
Old Nick,Old Nick
Old Nick Independent Waystation,"Raststation, Old Nick"
Old Nick Independent Homestead,"Anwesen, Old Nick"
Nemu,Nemu
Nemu Independent Rare Metals Mine,"Metallmine, Nemu"
Hu,Hu
Wenslydale,Wensleydale
Chedder,Chedder
Ghaddar,Ghaddar
Ghaddar Independent Homestead,"Anwesen, Ghaddar "
Paradise,Paradise
Lolla,Lolla
Lolla Independent Rare Metals Mine,"Metallmine, Lolla"
Tamugien,Tamugien
Ashanti,Ashanti
Cambria,Cambria
Orgelmir,Orgelmir
Grande Roditore,Grande Roditore
Vidar's Key,Vidar's Key
Grande Capra,Grande Capra
Vidar,Vidar
Hyrrokin,Hyrrokin
Hyrrokin Beta,Hyrrokin Beta
Hyrrokin L-Point,"L-Punkt, Hyrrokin"
Blue Note Social,Blue Note-Club
Hyrrokin Alpha,Hyrrokin Alpha
Hyrrokin Gamma,Hyrrokin Gamma
Gefjon,Gefjon
Gefjon Independent Waystation,"Raststation, Gefjon "
Gefjon Independent Fusionable Gases Mine,"Gasmine, Gefjon"
Fort Brooklyn,Fort Brooklyn
Fort Brooklyn Naval Listening Post,"Marineabhörstation, Fort Brooklyn"
Fort Brooklyn Gunstar Array,"Gunstar-Arsenal, Fort Brooklyn"
Fort Brooklyn Naval Defense Station,"Marineverteidigungsstation, Fort Brooklyn"
Almost,Almost
Pollyanna,Pollyanna
Almost Independent Orbital Habitat,"Orbit-Siedlung, Almost"
Almost Independent Settlement,"Freie Siedlung, Almost"
Sunflower,Sunflower
Firefrost System Administration,"Systemverwaltung, Firefrost"
Sunflower MAAS Regional HQ,Maas Regionalhauptquartier
Sunflower NOMEX Regional HQ,SOLAN Regionalhauptquartier
Sunflower L-Point,"L-Punkt, Sunflower"
Sunflower Independent Orbital Transfer Station,"Transferstation, Sunflower"
Al Fujayrah,Al Fujayrah
Al Fujayrah Independent Common Metals Mine,"Metallmine, Al Fujayrah"
Ad Dawhah,Ad Dawhah
Ad Dawhah Independent Rare Metals Mine,"Metallmine, Ad Dawhah"
Ash Shamal,Ash Shamal
Ash Shamal Independent Exotic Metals Mine,"Metallmine, Ash Shamal"
Sjarr,Sjarr
Sjarr Government FTL Comms Array,"FTL-Kommunikationssystem, Sjarr"
Sjarr Pirate Hideout,"Schlupfwinkel, Sjarr"
,
,
,
,
,
,
,
,
,
,
,
















