Valentino,Valentino,
Valentino Independent Fusionable Gases Mine,"Fusionsgasmine, Valentino",
Devil's Dance,Devil's Dance,
Prism,Prism,
Aarron,Aaron,
Aarron Crosspoint Minerals Security Station,"Sicherheitsstation, Aaron",
Ten Bells,Ten Bells,
Ten Bells Government High Security Prison,"Hochsicherheitstrakt, Ten Bells",
Ten Bellls Police Outpost,"Polizeihauptquartier, Ten Bells",
Maestro,Maestro,
Maestro Independent Common Metals Mine,"Metallmine, Maestro",
Maestro Exile Mad Scientist Lab,"Institut, Maestro",
Watchtower,Watchtower,
Watchtower Exile Hideout,"Schlupfwinkel, Watchtower",
Christoff's Soup,Christoff's Soup,
Christoff's Soup Exile Hermitage,"Klause, Christoff's Soup",
