Cargo_AchillesShieldDisruptor,Achilles-Schildrakete,Achilles-Rakete
Cargo_GammaHeatSink,Gamma-Hitzeableiter,Gamma-Hitzeabl.
Cargo_GnatRocket,Kleinrakete,Kleinrakete
Cargo_GnatRockets,Kleinraketenbündel,Kleinrakt.-Bdl.
Cargo_HammerRocket,Hammer-Rakete,Hammer-Rakete
Cargo_HammerRockets,Hammer-Bündel,Hammer-Bündel
Cargo_HarrowerMissile,Harrower-Rakete,Harrower-Rakete
Cargo_HarrowerMissiles,Harrower-Bündel,Harrower-Bündel
Cargo_HeatSinkSupercooler,Hitzeableiter-Kühler,Hitzeabl.-Kühl.
Cargo_HeavyBeamCannon,Schwere TSK,Schwere TSK
Cargo_HighPowerSensorDisruptor,Signaltarnung 2,Signaltarnung 2
Cargo_HighYieldFusionInjector,Hochlstgs.-Einspritzer,HL-Einspritzer
Cargo_HullMissileHardPoint,Rumpfraketenträger,Rumpfraketentr.
Cargo_HyperspaceTracker,Hyperr.-Fährtensucher,Hyperr.-Fährts.
Cargo_IFFBeacon,IFF-Sender,IFF-Sender
Cargo_ImprovedManoeuverThrusters,Wendeschubdüsen,Wendeschubd.
Cargo_InstantShieldControl,Sofort-Schildabwehr,Schildabwehr
Cargo_InterceptorDrivers,Jagdantrieb,Jagdantrieb
Cargo_InternalMissileMagazine,Internes Magazin,Int. Magazin
Cargo_LDSClass1Drive,LDS Klasse 1,LDS Klasse 1
Cargo_LDSClass2Drive,LDS Klasse 2,LDS Klasse 2
Cargo_LDSIMine,LDS-Blockiermine,LDS-Block.-Mine
Cargo_LDSIMines,LDS-Block.-Minen-Bdl.,LDS-Bl.-M.-Bdl.
Cargo_LDSi3000Missile,LDS-Block.-3000-Rkt.,LDS-Bl.-3000-Rkt.
Cargo_LDSi3000Missiles,LDS-Block.-3000-Bdl.,LDS-Bl.-3000-Bdl.
Cargo_LDSiMissile,LDS-Blockierrakete,LDS-Bl.-Rkt.
Cargo_LDSiMissiles,LDS-Blockierbündel,LDS-Block.-Bdl.
Cargo_LDSiShortMissile,KS-LDS-Blockierrakete,KS-LDS-Bl.-Rkt.
Cargo_LDSiShortMissiles,KS-LDS-Blockierbündel,KS-LDS-Bl.-Bdl.
Cargo_Level1AutorepairSystem,Autom.-Reparatur 1,Autom.-Rep. 1
Cargo_Level2AutorepairSystem,Autom.-Reparatur 2,Autom.-Rep. 2
Cargo_Level3Autorepairsystem,Autom.-Reparatur 3,Autom.-Rep. 3
Cargo_Level4Autorepairsystem,Autom.-Reparatur 4,Autom.-Rep. 4
Cargo_Level5Autorepairsystem,Autom.-Reparatur 5,Autom.-Rep. 5
Cargo_LightDefenceShield,Leichtes LDA,Leichtes LDA
Cargo_LightPBC,Leichte TSK,Leichte TSK
Cargo_LongRangeActiveSensors,Passivsensoren 5,Passivsens. 5
Cargo_LongRangeCannon,Schützenkanone,Schützenkan.
Cargo_LongRangeCannonAmmo,Schützenkan.-Munition,Schtznkan.-Mun.
Cargo_LongRangeCannonAmmoRound,Schützenkan.-Geschoss,Schtzkn.-Gesch.
Cargo_LongRangePassiveSensors,Aktivsensoren 5,Aktivsens. 5
Cargo_LowSignatureHullplates,Rumpfsignaldämmung,Rpfsignaldämmg
Cargo_ManoeuvreThrusters,Schubdüsen,Schubdüsen
Cargo_MarauderCommsScrambler,Verschlüsselungsmod.,Verschl.-Mod.
Cargo_MatchVelocityAutopilot,Autopilot-Verfolgung,Autop.-Verfolg.
Cargo_MeteorShield,Meteor-LDA,Meteor-LDA
Cargo_MilitaryAggressorShields,Marine-Angriffsschild,Mar.-A.-Schild
Cargo_MilitaryGradeActiveSensors,Aktivsensoren 4,Aktivsens. 4
Cargo_MilitaryGradePassiveSensors,Passivsensoren 4,Passivsens. 4
Cargo_MilitaryJumpCapacitor,Marine-Hyperantrieb,Marine-H-Antrieb
Cargo_MilitaryShields,Marine-LDA,Marine-LDA
Cargo_MilitaryTrackingProgram,Marine-Fährtensucher,Mar.-Fährtens.
Cargo_MinersShield,Bergbau-LDA,Bergbau-LDA
Cargo_MiningCharge,Minensprengladung,Minensprenglad.
Cargo_MiningCharges,Sprengladungsbündel,Sprgladg.-Bdl.
Cargo_MiningLasers,Bergbau-Laser,Bergbau-Laser
Cargo_NeutronBeamCannon,Neutronen-TSK,Neutronen-TSK
Cargo_OcclusionMonitoringSoftware,Verdeckungsmonitor,Verdeck.-Monit.
Cargo_OmegaHeatSink,Omega-Hitzeableiter,Omega-Hitzeabl.
Cargo_ParticleBeamCannon,TSK,TSK
Cargo_ParticleScreenShieldUpgrade,Teilchenschirm,Teilchenschirm
Cargo_PassiveSensorPackage,Passivsensoren 2,Passivsens. 2
Cargo_PointDefenceTurret,Raketenabwehrturm,Rak.-Abwehrturm
Cargo_PowerPlantAutorepair,Reaktor-Autoreparat.,Reaktor-Rep.
Cargo_ProximityMine,Kurzdistanzmine,Kurzdistanzmine
Cargo_ProximityMines,Bdl. Kurzdistanzminen,Bd. K-Dist-Mine
Cargo_PulsarDisruptor,Pulsarrakete,Pulsarrakete
Cargo_PulsarDisruptors,Bdl.Pulsarraketen,Bdl. Pulsarrakt.
Cargo_PulseAcceleratedPBC,HL.-Teilchenwaffe,HL-Teil.-Waffe
Cargo_PursuitDrivers,Beschleunigungsantr.,Beschl.-Antrieb
Cargo_QuadpackMissileLauncher,Viererwerfer,Viererwerfer.
Cargo_QuadLightPBC,Vierer-TSK,Vierer-TSK
Cargo_RapidFirePBC,Schnellfeuer-TSK,Schnellf.-TSK
Cargo_ReactorHardening,Reaktorschutz,Reaktorschutz
Cargo_RemoteFighter,REM-Jäger,REM-Jäger
Cargo_RemoteMissile,REM-Rakete,REM-Rakete
Cargo_RemoteMissiles,REM-Rkt.-Bündel,REM-Rkt.-Bündel
Cargo_RemoteProbe,REM-Sonde,REM-Sonde
Cargo_RemoteProbes,REM-Sondenbündel,REM-Sonden-Bdl.
Cargo_RepairControlProgram,HL-Autoreparatur,HL-Atm.-Rep.
Cargo_SNRVReloadPod,Bergungs.-Waffenkapsel,Bergs.-Waf-Kaps
Cargo_SealedHeatSink,Gedämmter Hitzeabl.,Ged. Hitzeabl.
Cargo_SecondaryRing,Zweitring,Zweitring
Cargo_SeekerMine,Suchmine,Suchmine
Cargo_SeekerMines,Suchminenbündel,Suchminen-Bdl.
Cargo_SeekerMissile,Suchrakete,Suchrakete
Cargo_SeekerMissiles,Suchraketenbündel,Suchrakt.-Bdl.
Cargo_SelfDefenceSoftware,Abwehrmodul,Abwehrmodul
Cargo_SensorDisruptor,Signaltarnung 1,Signaltarnung 1
Cargo_ShieldBooster,Schildkompressor,Schildkompr.
Cargo_ShieldSynchroniser,Schildsynchronschalt.,Schildsynch.
Cargo_ShipCPUGradeI,CPU Klasse 1,CPU Klasse 1
Cargo_ShipCPUGradeII,CPU Klasse 2,CPU Klasse 2
Cargo_ShipCPUGradeIII,CPU Klasse 3,CPU Klasse 3
Cargo_ShipCPUGradeIV,CPU Klasse 4,CPU Klasse 4
Cargo_ShipCPUGradeV,CPU Klasse 5,CPU Klasse 5
Cargo_ShipMemoryModule,Speichermodul,Speichermodul
Cargo_ShipsDrive,Standardantrieb,Standardantrieb
Cargo_ShortRangeActiveSensors,Aktivsensoren 1,Aktivsens. 1
Cargo_ShortRangePassiveSensors,Passivsensoren 1,Passivsens. 1
Cargo_SmartDecoy,Bdl. Semi-KI-Köder,Bdl. KI-Köder
Cargo_SmartDecoyCountermeasure,Semi-KI-Köder,KI-Köder
Cargo_StealthProgram,Tarnmodul,Tarnmodul
Cargo_TargetedPBC,Rückstoßfreie TSK,Rückstoßfr. TSK
Cargo_Thrusterpods,Schubdüsenkapseln,Schubdüsenkap.
Cargo_TrackingComputer,Spürsystem,Spürsystem
Cargo_TripackMissileLauncher,Dreierwerfer,Dreierwerfer
Cargo_TurretFighter,Kanonenjäger,K-Jäger
Cargo_TwinPackMissileLauncher,Zwillingswerfer,Zwillingswerfer
Cargo_UCPScanner,UCP-Scanner,UCP-Scanner
Cargo_WeaponLinkHardware,Waffenkopplung,Waffenkopplung
Cargo_WideanglePBC,Weitwinkel-TSK,Weitwinkel-TSK
system_comsec_powerplant,Mini-Treibstoffkammer,Mini-Trbstffk.
system_advanced_patcom_powerplant,Injektor-Fusionsring,Inj.-Fusionsr.
system_tug_powerplant,H.-Leistungs-F.-Ring,H.-L.-Fusionsr.
system_heavy_corvette_powerplant,Hocheffiz.-Fusionsring,Hocheff.-F-Ring
system_storm_petrel_powerplant,Servo-Treibstoffkammer,Servo-Trbstffk.
