
a2_master_stc_control,"RFK-Station, Eureka"
a2_master_dialogue_clay_i_aint_geriatric_and_i_aint_no_toaster,"Ich bin nicht alt, und ich bin kein Toaster, verdammt noch mal! Und ich bin mir ziemlich sicher, dass sich hinter diesem Jackson mehr verbirgt..."
a2_master_dialogue_clay_remember_why_we_are_here,"Denk dran, Kleiner, wir sind hier geschäftlich für die League unterwegs. Wir müssen mit diesem Jackson reden."
a2_master_dialogue_jackson_welcome_mr_johnston,"Willkommen, Mr. Johnston, ich habe Ihre Ankunft erwartet. Mit Ihren Erfolgen in Hoffer's Wake haben Sie für ganz schön viel Wirbel gesorgt, und ich bin sicher, Sie werden die League auch in der momentanen Situation nicht enttäuschen. Wie kann ich Ihnen behilflich sein?"
a2_master_option_cal_how_come_you_know_so_much_about_me,Woher wissen Sie so viel über mich?
a2_master_dialogue_cal_how_come_you_know_so_much_about_me,Woher wissen Sie so viel über mich und meine aktuelle Mission?
a2_master_dialogue_jackson_i_have_a_scholars_interest_in_the_badlands,"Nun, mein junger Freund, ich hege ein gewisses Interesse an den Badlands und bin gerne auf dem Laufenden. Durch Ihre Taten in Hoffer's Wake haben Sie sich einen Namen gemacht, und wenn ich mich nicht irre, könnten sich Ihre momentanen Pläne auf die Zukunft der gesamten Badlands auswirken."
a2_master_option_cal_how_do_my_current_actions_affect_the_badlands,"Und die Zukunft der gesamten Badlands..."
a2_master_dialogue_cal_how_do_my_current_actions_affect_the_badlands,"Inwiefern beeinflussen denn meine Taten die Zukunft der gesamten Badlands, wenn ich fragen darf?"
a2_master_dialogue_jackson_because_times_are_changing,"Ich bin kein Wahrsager, aber ich weiß, dass sich die Zeiten ändern. Siebzig Jahre lang hat die Propaganda der Unternehmen dafür gesorgt, dass sich die Gruppierungen gegenseitig bekämpfen. Aber die einzelnen Clans der Badlands haben viel mehr gemeinsam, als ihnen von der Regierung des Sternhaufens eingeredet wird. Cal, Sie sind einer der Ersten, die es geschafft haben, die Gruppierungen zur Zusammenarbeit zu bewegen. Es wird Veränderungen geben, und Sie haben die Möglichkeit, die Art dieser Veränderungen zu bestimmen."
a2_master_option_cal_are_you_going_to_help_the_league,Sie könnten die League unterstützen...
a2_master_dialogue_cal_are_you_going_to_help_the_league,Sie könnten die League im Kampf gegen die Marauder unterstützen.
a2_master_dialogue_jackson_yes_and_no,"Ich fürchte, Sie schätzen das Coyote-System falsch ein, wenn sie denken, wir seien so zahlreich und so gut organisiert wie die League, die Stepsons oder die Kong. Wir können Ihren Verbündeten keine militärische Unterstützung anbieten. Die wenigen Schiffe, die uns zur Verfügung stehen, sind ständig mit unserem eigenen Marauder-Problem beschäftigt. Aber vielleicht kann ich Ihrer Sache mit einem guten Rat dienlich sein. Ich schlage vor, Sie wenden sich zuächst an die MCA, die ""Mwari Colonial Alliance"". Wenn Sie jemand militärisch unterstützen kann, dann die MCA. Von den verschiedenen freien Gruppierungen in den Badlands ist sie am besten organisiert. Ihr Vertreter oder Botschafter, wie sie es nennen, hält sich gerade auf der Brotherhood-Arche im Santa Romera-System auf."
a2_master_dialogue_cal_tell_me_about_mca_org,"Erzählen Sie mir etwas über diese MCA-Organisation, die Sie erwähnt haben."
a2_master_dialogue_jackson_the_mca_are_the_mwari_colonial,"MCA steht für ""Mwari Colonial Alliance"". Sie ist eine frei gewählte Körperschaft, die das Mwari-System regiert und verteidigt. Sie ist die am besten organisierte der freien Gruppierungen in den Badlands. Sie finden ihren Vertreter auf der  Brotherhood-Arche im Santa Romera-System."
a2_master_dialogue_cal_tell_me_about_coyote,Erzählen Sie mir etwas über Coyote.
a2_master_dialogue_jackson_coyote_is_the_least_developed,"Coyote ist das am wenigsten entwickelte System im Badlands-Sternhaufen. Es wurde erst nach dem großen Zusammenbruch besiedelt. Wir haben recht wenige Mineralvorkommen, also haben sich nur wenige der großen Unternehmen hier um Anrechte bemüht. Deshalb zieht es auch so viele Freelancer hierher. Aber leider geht unsere Zeit der Unabhängigkeit zu Ende, denn in den letzten fünf Jahren hat sich Maas Systems mit seinen Einrichtugen hier mehr und mehr breit gemacht. Sie sind im Herzen des Systems konzentriert und sorgen dafür, dass dort niemand eindringt. Ansonsten ist Coyote ein ruhiges System. Man könnte es auch als hinterwäldlerisch bezeichnen."
a2_master_dialogue_cal_tell_me_about_coyote_again,Erzählen Sie mir noch mal von Coyote.
a2_master_option_cal_how_come_you_speak_for_coyote,"Wie kommt es, dass Sie Sprecher Coyote sind?"
a2_master_dialogue_cal_how_come_you_speak_for_coyote,"Wie kommt es, dass Sie Sprecher aller Freelancer in Coyote sind?"
a2_master_dialogue_jackson_not_through_any_design_on_my_part,"Das war nicht meine Idee, das kann ich Ihnen versichern. Meine Tage in der Politik sind lange vorbei. Wahrscheinlich sehen mich die Freelancer als ihren Vertreter, weil ich ein größeres Mundwerk habe als die meisten von ihnen. Aber machen Sie sich keine Sorgen, Cal, ich habe mein Herz am rechten Fleck."
a2_master_dialogue_cal_bye,Das war's schon.
a2_master_dialogue_jackson_anything_else,Kann ich sonst noch behilflich sein?
a2_master_dialogue_jackson_ok_goodbye_cal_and_before_i_forget,"Auf Wiedersehen, Cal. Sie sind hier jederzeit willkommen. Oh, ehe ich's vergesse: Ich kriege hier ziemlich viele Handelsgüter rein. Wenn Sie mal auf der Suche nach günstiger Zusatzausrüstung für Ihr Schiff sind, wissen Sie ja, wo Sie mich finden..."
a2_master_dialogue_jackson_ok_goodbye_cal,"Auf Wiedersehen, Cal. Sie sind hier jederzeit willkommen.  "
a2_master_dialogue_stc_hi_there_traffic_control,"Hallo und willkommen in Eureka, der Kornkammer der Badlands. Sie begeben sich in ein überwachtes System, bitte nennen Sie Ihr Anliegen. "
a2_master_dialogue_cal_looking_for_work,Ich bin nur auf der Suche nach Arbeit.
a2_master_dialogue_stc_you_might_be_a_little_dissapointed,"Oh je, da könnten Sie allerdings einige Enttäuschungen erwarten. Der Third Way hat dieses System im Griff, und zwar so fest, dass es echt richtig äh... fest ist. Fremde sind hier nicht gern gesehen, erst recht nicht, wenn sie Arbeit suchen. "
a2_master_option_cal_representative_from_hoffers_wake,Wir brauchen Hilfe gegen die Marauder.
a2_master_dialogue_cal_representative_from_hoffers_wake,Ich vertrete eine Gruppierung in Hoffer's Wake. Wir brauchen Hilfe gegen die Marauder.
a2_master_dialogue_stc_i_think_you_are_in_the_wrong_system,"Da sind Sie im falschen System. Die Leute vom Third Way haben hier das Sagen, und die sind ziemlich fremdenfeindlich. Sie helfen bestimmt keinen Neuankömmlingen. "
a2_master_dialogue_cal_just_wandering,Ich bin nur auf der Durchreise.
a2_master_dialogue_stc_the_without_being_rude,"Ich will nicht unhöflich sein, aber suchen Sie sich doch ein anderes System zum Durchreisen. Hier hat der Third Way das Sagen, und Neuankömmlinge werden so misstrauisch beäugt, dass es schon an Fremdenhass grenzt. "
a2_master_dialogue_cal_the_third_way,Der Third Way? Wer oder was ist das?
a2_master_dialogue_stc_youve_never_heard,Sie haben noch nie vom Third Way gehört? Sie müssen aber wirklich neu hier sein...
a2_master_dialogue_stc_the_third_way_are,"Der Third Way ist ein Kartell, das die Massenproduktion von Lebensmitteln für dieses System kontrolliert. Aber das Wort Kartell sagt noch nicht alles. Sehen Sie, der Third Way kümmert sich auch um Reinrassigkeit und Religion und so. Das kommt von dem ach-so-gesunden landwirtschaftlichen Leben, das man hier führt. Wenn Sie sich den Planeten Eureka ansehen, werden Sie verstehen, was ich meine."
a2_master_dialogue_stc_enjoy_your_stay_in_the_eureka_system,Einen schönen Aufenthalt im Eureka-System.
a2_master_dialogue_stc_why_hello_again,"Ach, Sie sind's wieder. Kann ich etwas für Sie tun?"
a2_master_dialogue_cal_tell_me_more_about_the_third_way,Erzählen Sie mir mehr über den Third Way.
a2_master_dialogue_stc_a_strange_bunch,"Was gibt's da zu erzählen? Es ist ein Haufen engstirniger Leute, die allen Ernstes glauben, sie seien der übrigen Menschheit überlegen. Ihr landwirtschaftliches Leben hält sie angeblich rein. Eigentlich würde das restliche System diese Leute ignorieren, aber sie kontrollieren über achtzig Prozent der Lebensmittelproduktion für die Badlands. Das macht sie sehr mächtig, und es sind wirklich die letzten Leute, mit denen man sich anlegen will."
a2_master_dialogue_cal_why_are_you_so_chatty,Warum sind Sie so gesprächig?
a2_master_dialogue_stc_just_enjoy_the_company,"Einfach so... Ich unterhalt' mich halt gerne mit Leuten, und die Typen vom Third Way hier sind nicht gerade gesprächig."
a2_master_dialogue_cal_no_im_fine,Nein danke.
a2_master_dialogue_stc_be_seing_you2,"Okay, vielleicht bis bald mal!"
a2_master_dialogue_stc_hello_there_again_back_for_another_visit,"Ach, Sie sind's... Wieder zu Besuch im schönen Eureka? Ich muss sagen, seit Ihrem letzten Besuch sind die Einwohner hier auch nicht gerade freundlicher geworden."
a2_master_dialogue_stc_hello_again,"Ach, Sie wieder."
a2_master_dialogue_stc_my_captain_johnson_you_seem_to,Captain Johnston. Sie scheinen sich ja unglaublich für das Eureka-System zu interessieren.
a2_master_dialogue_stc_welcome_back_commander_johnston,"Willkommen zurück in Eureka, Captain Johnston. Einen schönen Aufenthalt!"
a2_master_dialogue_clay_looks_like_we_got_company,"Ich glaube, wir kriegen Gesellschaft..."
a2_master_dialogue_oman_you_are_passing_through_oman_territory,"Unbekanntes Schiff, dies ist das geheiligte Territorium der Oman. Sofort beidrehen und identifizieren!"
a2_master_dialogue_clay_we_better_do_as_these_guys_say,"Wir sollten tun, was Sie sagen, Cal. Wir brauchen die Oman auf unserer Seite..."
a2_master_dialogue_oman_what_is_your_business_here,"Sie haben die Grenze des Gebiets überschritten, das den Oman bestimmt ist. Welche Angelegenheit führt Sie ins Innere unseres Territoriums?"
a2_master_option_cal_im_looking_for_assistance,"Ich suche nach Verbündeten..."
a2_master_dialogue_cal_im_looking_for_assistance,"Ich suche nach Verbündeten, um gegen die Marauder in Hoffer's Wake zu kämpfen."
a2_master_dialogue_oman_you_must_speak_with_our_leader,Sie müssen mit unserem Anführer Scheich Abdul-Hadi sprechen. Folgen Sie uns nach Daru el-Salam.
a2_master_dialogue_cal_i_wish_to_speak_to_your_commander,Ich möchte mit eurem Anführer sprechen.
a2_master_dialogue_oman_very_well_you_are_clearly_not_a_marauder,"Nun gut, wir sehen ja, dass Sie kein Marauder sind. Folgen Sie uns nach Daru el-Salam. Dort können Sie mit Scheich Abdul-Hadi sprechen."
a2_master_dialogue_cal_mca_just_passing,"Kümmert euch nicht um mich, ich bin nur auf der Durchreise."
a2_master_dialogue_oman_very_well_but_be_warned_that_the_oman_do_not_tolerate,"Nun gut, aber seien Sie gewarnt: Die Oman dulden keine ungläubigen Gesetzesbrecher in ihrem Gebiet."
a2_master_dialogue_clay_you_idiot,"So können wir vielleicht Hilfe von ihnen bekommen, Kleiner. Deshalb sind wir doch hier, oder?"
a2_master_dialogue_main_oman_welcome_to_daru_el_salam,"Willkommen in Daru el-Salam, verehrter Fremder. Sie dürfen andocken."
a2_master_dialogue_hadi_welcome_stranger_i_am_the_elder,"Der Friede sei mit dir. Willkommen in Daru el-Salam, der Oase des Friedens. Verzeih die unfreundliche Begrüßung durch die Patrouille, aber wir leben in einer gefährlichen Zeit. Ich bin Scheich Abdul-Hadi, Oman-Ältester und ihr Anführer. Wie kann ich behilflich sein?"
a2_master_option_cal_hoffers_wake_needs_help,"Ich suche nach Verbündeten gegen die Marauder..."
a2_master_dialogue_cal_hoffers_wake_needs_help,"Ich suche nach Verbündeten gegen die Marauder, die Hoffer's Wake heimsuchen."
a2_master_dialogue_hadi_i_sympathise_but_we_all_have_troubles_with_the_marauders,"Ich teile deine Sorge, aber wer wird in diesen finsteren Zeiten nicht von den Schandtaten der Marauder heimgesucht?"
a2_master_option_cal_i_represent_the_league,"Ich vertrete die League..."
a2_master_dialogue_cal_i_represent_the_league,"Ich vertrete die League, und wir suchen nach Verbündeten, um die Marauder zu bekämpfen."
a2_master_dialogue_hadi_i_know_the_league_and_understand_your_plight_but_we_are_all_having_trouble,"Ich kenne die League und teile eure Sorge, aber wer wird in diesen finsteren Zeiten nicht von den Maraudern bedroht?"
a2_master_dialogue_hadi_we_do_not_have_the_stregnth,"Verflucht sei unsere Schwäche! Uns fehlt die Kraft, euch mit Waffengewalt zu unterstützen. Aber wer sich als würdig erweist, kann auf eine andere Art der Unterstützung zählen."
a2_master_dialogue_cal_and_how_do_i_prove_myself_worthy,Hmmm. Und wie genau kann ich mich als würdig erweisen?
a2_master_dialogue_hadi_simple_my_friend_all_we_ask_of_you,"Ganz einfach, mein Freund. Wir möchten nur, dass du dich einer Probe unterziehst, die jeder jugendliche Oman zu bestehen hat..."
a2_master_dialogue_clay_i_was_afraid,So was hatte ich schon befürchtet!
a2_master_dialogue_clay_the_oman_are_supposed_to_be_tough_cookies,Die Oman sind angeblich richtig harte Kerle. Sei also vorsichtig!
a2_master_dialogue_hadi_do_you_wish_to_take_the_test,Möchtest du dich der Prüfung der Oman stellen?
a2_master_dialogue_cal_yes_ill_take_the_test,"Ja, ich stelle mich der Prüfung. "
a2_master_dialogue_cal_not_just_yet,"Nein, noch nicht."
a2_master_dialogue_hadi_very_good,Sehr gut.
a2_master_dialogue_hadi_as_you_wish,"Wie du willst. Gehe in Frieden, mein Freund."
a2_master_dialogue_hadi_welcome_back,"Der Friede sei mit dir. Bist du zurückgekehrt, um dich der Probe der Oman zu stellen? "
a2_master_dialogue_abdul_welcome_back_Cal_johnston,"Der Friede sei mit dir, Cal Johnston, Günstling der Oman. Wieder heiße ich dich in Daru el-Salam willkommen. Was kann ich für dich tun?"
a2_master_dialogue_cal_tell_me_about_the_oman,Erzähle mir von den Oman.
a2_master_dialogue_abdul_we_are_descendents_of_the_bedoin,"Wir sind ein Sufi-Volk und stammen von den Beduinen der Proxima-Centuri ab, die ihre Herkunft wiederum von den Beduinen der alten Erde herleiten. Mit den ersten Immigranten kamen wir zu diesem Sternhaufen der Badlands und ließen uns im Kompira-System nieder. Der Mineralreichtum dieser Gegend kam unserem Bedarf an Bodenschätzen sehr entgegen. Das bedrohliche Klima weckte unsere Liebe zur ungestümen Natur und schreckte die Diener der Ungerechtigkeit ab, die den Luxus über alles lieben. Hier können wir die Unterdrückung bekämpfen, die in uns selbst wohnt, und das ist ein größerer Kampf als der gegen die Unterdrückung von außen. Wir führen unser Leben nach der Lehre des Propheten und erhalten unsere Art durch Bergbau, Handel und die Herstellung spezieller Schiffsteile... die wir dir gerne zu einem sehr vorteilhaften Preis zur Verfügung stellen. Seit der Gründung des Systems haben wir im Einklang mit unserem rauen und doch wunderbaren Stern gelebt... bis zu dem Aufruhr, der erst durch die riesigen Maschinen der Maas Corporation und jetzt durch den Konflikt mit den ungläubigen Maraudern über uns kam. "
a2_master_dialogue_cal_tell_me_about_the_oman_again,Erzähl mir noch einmal von den Oman.
a2_master_dialogue_cal_have_you_had_much_marauder_trouble_recently,Wurdet ihr in letzter Zeit oft von Maraudern angegriffen?
a2_master_dialogue_hadi_there_have_been_marauder_incidents_but_we_have_dealt_with_them,"In letzter Zeit gab es mehrere Angriffe der Marauder, aber wir sind auf unsere Art mit ihnen fertig geworden."
a2_master_dialogue_cal_how_did_you_deal_with_the_marauders,Wie seid ihr mit den Maraudern fertig geworden?
a2_master_dialogue_abdul_we_use_their_own_tactics_agaisnt_them,"Wir benutzen ihre eigene Strategie gegen sie. Wir haben ihre Angriffe beobachtet, ihre Schwächen erkannt und uns entsprechende Taktiken zum Gegenschlag überlegt. Ist dein Feind ein Schakal, musst du eine Falle stellen, die einen Schakal fängt. Die Marauder stürzen sich auf beschädigte Schiffe, also legen wir beschädigte Schiffe als Köder aus, die wir dann sprengen, wenn sie nah genug sind. Sie setzen falsche Polizeischiffe gegen uns ein, um uns mit der Polizei in Konflikt zu bringen, also verwenden wir falsche Schiffe der Unternehmen gegen sie, um sie anderweitig zu beschäftigen. Mit Ausnahme der ersten Angriffe haben uns die Marauder noch keinen bedeutenden Schaden zugefügt."
a2_master_dialogue_cal_any_problems_i_can_help_you_with,Kann ich euch irgendwie behilflich sein?
a2_master_dialogue_abdul_we_we_have_nothing_requiring_your_skills_cal_johnston,"Wir haben nichts, was nach deinen Fähigkeiten verlangt, Cal Johnston, aber sollten die Oman einmal deine Dienste brauchen, informieren wir dich. "
a2_master_dialogue_cal_bye,"Auf Wiedersehen, Scheich Abdul-Hadi."
a2_master_dialogue_hadi_then_farewell_cal_johnston_peace_be_with_you,"Lebe wohl, Cal Johnston. Friede sei mit dir."
a2_master_dialogue_cal_we_need_pilots_to_fight_the_Marauders,"Wir brauchen Piloten, um gegen die Marauder zu kämpfen."
a2_master_dialogue_cal_the_league_and_the_marauders,"Oh großer Scheich, die League und die MCA haben sich verbündet, um die Marauder zu stoppen. Allerdings brauchen wir unbedingt Piloten für unsere Schiffe. Kannst du uns helfen?"
a2_master_dialogue_abdul_i_already_have_heard_rumours_of_such_an_action,"Ich habe von einem Gerücht gehört, nach dem sich die geteilten Völker des Sternhaufens endlich zusammengetan haben, um uns von den Unterdrückern zu befreien. Ich bin hoch erfreut ob dieser Nachricht. Cal Johnston, die Oman werden deiner gerechten Sache einhundert ihrer besten Piloten zur Verfügung stellen."
a2_master_dialogue_dagda_stc_attention_arriving_vessel,"Achtung, näher kommendes Schiff, Sie sind ohne Erlaubnis in ein gesperrtes System eingedrungen. Bitte bleiben Sie in der Durchgangszone innerhalb eines Radius von fünf Kilometern um den Lagrange-Punkt. Sollten Sie Zeit zum Aufladen Ihres Hypersprung-Kondensators benötigen, fliegen Sie bitte zum Streckenpunkt ""Zwischenlandestation 1"". Zuwiderhandeln entspricht einem feindseligen Akt und wird dementsprechend geahndet. Vielen Dank für Ihre Kooperation."
a2_master_dialogue_dagda_stc_attention_vessel_you_are_in_violation,"Achtung, Schiff, Sie machen sich soeben eines Verstoßes gegen das Kolonisationsgesetz Dagdas, Paragraph 36, strafbar. Gegen Ihr Schiff darf nun gewaltsam vorgegangen werden. Bitte bleiben Sie in der Durchgangszone innerhalb eines Radius von fünf Kilometern um den Lagrange-Punkt. Vielen Dank für Ihre Kooperation. "
a2_master_dialogue_dagda_stc_warning,"Achtung, Schiff, Sie haben die Durchgangszone von Dagda verlassen. Sie haben zehn Sekunden, um Ihren Kurs zu korrigieren, bevor wir Vergeltungsmaßnahmen einleiten.  "
a2_master_dialogue_jarvis_howdy,Hallo Fremder. Zum ersten Mal in Dagda? 
a2_master_dialogue_cal_yeah_whats_the_score_with_all_this_entry_permit_stuff,Ja. Was soll denn das hier mit der Einfluggenehmigung und dem ganzen Zeug?
a2_master_dialogue_jarvis_this_whole_system_is_owned_by_the_maas_corporation,"Nun, dieses System ist fest im Griff der Maas Corporation, die hier Neutronium fördert. Das ist wahrscheinlich die wertvollste Substanz, die man in die Finger kriegen kann, also nehmen sie es hier mit der Abschirmung sehr ernst. Aber ganz unter uns und denen, die sonst noch diese offene Frequenz abhören, in Wirklichkeit geht's ihnen um die tausenden Arbeitssklaven, die um jeden Preis von hier abhauen wollen. Maas setzt Gefangene ein, weil die Arbeit so schwer und gefährlich ist. Ziemlich viele Leute sind hier, weil sie arm sind. Und ohne mein Schiff wäre ich einer von ihnen. Maas hat dieses tödliche Abwehrnetz eingerichtet, damit keiner die Fliege macht. Wenn du also nicht extrem hart oder unglaublich dumm bist, bleibst in der sicheren Zone."
a2_master_dialogue_cal_youre_not_maas_how_come_youre_here,Du fliegst kein Maas-Schiff. Und ganz bestimmt entsprichst du nicht dem Parteiprogramm der Maas. Wieso bist du also hier?
a2_master_dialogue_jarvis_jarvis_fokker_at_your_service_freelance_vending_machine_engineer_at_your_service,"Darf ich mich vorstellen: Jarvis Fokker, freier Automatentechniker, stets zu Diensten. Ich bin hier, weil ich der Einzige im ganzen Sternhaufen bin, der diese Unverschämtheit von Nahrungsautomaten in Schuss halten kann, die sie unten in den Gefangenenquartieren haben. Ich verkaufe meine Seele ja nicht gern an diesen Mann, und ich helfe der Maas Corporation bestimmt nicht gern, die Gefangenen wie Dreck zu behandeln, die armen Teufel. Aber von irgendwas muss man ja leben, und die Typen von Maas zahlen nicht schlecht."
a2_master_dialogue_trashman_would_you_please_stop_insulting_my_employer_over_an_open_channel,"Würdest du bitte aufhören, unseren Arbeitgeber auf offener Frequenz zu beleidigen, Jarvis? Damit beleidigst du auch mich."
a2_master_dialogue_jarvis_i_wondered_how_long_it_would_take,"Habe mich schon gefragt, wie lange es dauert, bis du dich einmischst, Müllmann! Sollen sie mich doch feuern, wenn ihnen nicht gefällt, was ich sage. Dann können sie mal sehen, wie schnell da unten die Hölle los ist, wenn die Gefangenen kein Essen mehr kriegen! Aber wo sind meine Manieren? Hey, Neuer, darf ich vorstellen: der Müllmann. Ein Abwasserbeseitiger der ganz besonderen Art. Quatscht so, als würde ihm die Maas Corporaton selbst gehören, dabei schippt er hier nur die Klos aus. Hähähä!  "
a2_master_dialogue_trashman_i_resent_that,"Das merke ich mir, Jarvis. Mein Name ist Tarquin, nicht Müllmann. Und ich hasse es, wenn du dich dauernd über Maas Systems lustig machst. Die Gefangenen sind keine Sklaven. Das sind verurteilte Verbrecher! Und Maas bringt dem Badlands-Sternhaufen lebenswichtige Einkünfte, auch wenn's keiner zu schätzen weiß."
a2_master_dialogue_jarvis_convicted_of_poverty,"Verurteilt? Na klar, hier draußen, wo es ein Verbrechen ist, pleite zu sein. Warte nur, bis sie es gesetzlich verbieten, ein naiver Volltrottel zu sein, mein lieber Müllmann!"
a2_master_dialogue_clay_talking_to_these_jokers,"Cal, das Gespräch mit den Witzbolden bringt uns nicht weiter. Ohne unsere eigene Flotte können wir in diesem System doch nichts erreichen. Oder ohne eine Genehmigung. Komm, lass uns abhauen."
a2_master_dialogue_cal_your_right_clay,"Du hast Recht, Clay."
a2_master_dialogue_cal_thanks_for_your_help,"Danke für die Hilfe, Jarvis. Tarquin. Bis bald mal!"
a2_master_dialogue_mca_you_have_entered_mca_space,Sie sind in den Raum der MCA eingedrungen. Was ist der Grund Ihres Eindringens?
a2_master_option_cal_looking_for_allies,"Ich bin auf der Suche nach Verbündeten..."
a2_master_dialogue_cal_looking_for_allies,"Ich bin auf der Suche nach Verbündeten, um die Marauder im Hoffer's Wake-System zu bekämpfen."
a2_master_dialogue_mca_maybe_you_hadnt_noticed,"Dann haben Sie die lange Reise umsonst unternommen. Vielleicht ist's Ihnen noch nicht aufgefallen, aber wir haben selbst genügend Probleme mit den Maraudern. Wir können keine Mittel entbehren."
a2_master_dialogue_cal_come_to_fight_marauders,"Ich bin gekommen, um gegen die Marauder zu kämpfen."
a2_master_dialogue_mca_then_good_luck_to_you,Dann sind Sie hier richtig. In diesem System gibt's genug davon. Viel Glück!
a2_master_dialogue_cal_dont_mind_me,Bin nur auf der Durchreise.
a2_master_dialogue_mca_then_i_recomend_you_turn_around,"Dann sollten Sie schleunigst durchreisen. Mwari befindet sich im Krieg, und wir haben keine Zeit für Touristen!"
a2_master_dialogue_mca_you_again,"Sie schon wieder! Warum machen Sie sich nicht mal nützlich und begleiten einen Konvoi in das System, anstatt hier nur rumzuhängen?"
a2_master_dialogue_mca_your_prescence_here_is_unwelcome,Ihre Anwesenheit ist unerwünscht. Verschwinden Sie! 
a2_master_dialogue_mca_so_you_have_finally_made_yourself_useful,Haben Sie sich also endlich mal nützlich gemacht?
a2_master_dialogue_mca_thank_you,"Danke für das sichere Geleit des Konvois nach Mwari. Jeder Konvoi, der hier sicher ankommt, gibt uns die Möglichkeit, die Marauder-Schlächter noch etwas agressiver zu bekämpfen."
a2_master_dialogue_mca_unfortunately_the_situation_with_the_marauders,"Der Anführer des Konvois hat uns von Ihrer Position innerhalb der League und Ihrer Suche nach Verbündeten im Kampf gegen die Marauder berichtet. Leider lassen es die Probleme, die die MCA momentan mit den Maraudern hat, nicht zu, dass wir direkte Hilfe gewähren."
a2_master_dialogue_cal_tell_me_about_the_mca,Erzählen Sie mir von der MCA.
